es Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
joven	man	0	0	0	0	0	1	1	0	1
Sasi	assume	0	0	0	1	1	0	1	0	0
iluminado	light	0	1	1	1	0	1	1	0	1
formaban	be	0	1	0	0	0	0	1	0	1
concluido	conclude	1	1	1	1	0	1	1	0	1
consistiera	forward	1	1	0	1	1	1	1	0	1
soplo	be	0	1	0	0	0	0	1	0	1
fatigoso	tire	0	0	0	-1	0	1	0	-1	0
obtenga	be	0	1	0	0	0	0	1	0	1
obtengo	have	1	1	1	0	0	1	1	0	1
sopla	blow	0	0	0	0	0	0	1	0	0
sople	be	0	1	0	0	0	0	1	0	1
concluida	complete	1	1	1	1	1	1	1	0	1
reinventa	be	0	1	0	0	0	0	1	0	1
federados	scale	0	0	0	0	0	0	1	0	0
libertades	free	1	1	1	1	1	1	1	1	1
democratice	become	0	0	0	0	0	0	1	0	0
calibrarse	be	0	1	0	0	0	0	1	0	1
rondas	round	0	0	0	0	1	0	1	0	0
torrente	flood	0	0	0	0	1	0	1	0	0
Jackson	raise	0	0	1	1	0	0	1	0	1
ofrecido	give	0	1	1	0	0	0	1	0	1
ofrecida	provide	1	1	1	1	1	1	1	0	1
desembocado	lead	0	1	1	1	1	0	1	0	1
rondando	hang	0	0	0	1	0	1	1	0	0
unilateralismo	complete	1	1	1	1	1	1	1	0	1
AEE	count	0	0	1	1	1	1	1	0	1
llevan	be	0	1	0	0	0	0	1	0	1
cancelan	cancel	0	0	-1	-1	0	1	1	0	0
frustraran	dash	0	0	0	0	1	0	1	0	0
opcionales	render	1	0	1	0	1	1	1	0	1
equívocas	mislead	0	-1	0	-1	0	1	0	-1	0
recordarlo–	remember	1	1	1	1	1	1	1	1	1
pastel	slice	0	0	0	-1	0	0	1	0	0
satisfactorios	satisfy	1	1	0	1	0	1	1	1	1
costosos	cost	0	-1	0	0	0	0	1	-1	0
fijaré	pay	0	0	-1	0	0	-1	1	0	-1
respiratorios	breathe	0	1	0	0	1	1	1	0	1
secuestrar	kidnap	0	0	-1	-1	1	1	1	-1	1
secuestran	kidnap	0	0	-1	-1	1	1	1	-1	1
inadvertidamente	notice	1	1	1	0	1	1	1	0	0
contaría	have	1	1	1	0	0	1	1	0	1
incesante	continue	1	1	1	1	1	0	1	0	1
rebasará	exceed	0	0	0	0	0	0	1	0	0
derroches	waste	0	-1	0	-1	-1	1	1	0	-1
aplauden	applaud	1	1	1	1	1	1	1	1	1
Mégret	welcome	1	1	1	1	1	1	1	1	1
materiales	waste	0	-1	0	-1	-1	1	1	0	-1
trasladada	transfer	0	0	0	0	0	1	1	0	0
irregulares	reside	0	1	1	1	1	1	1	0	1
abstuvieran	abstain	0	0	-1	0	0	0	1	0	1
mafiosas	like	1	1	1	1	0	1	1	1	1
bávaros	scrap	0	0	-1	-1	-1	0	1	0	-1
televisados	televise	1	1	1	1	1	1	1	0	1
reservarse	reserve	0	0	1	0	1	1	1	0	1
prorrogamos	extend	0	1	1	1	1	1	1	0	1
proponerlas	propose	0	1	1	1	0	0	1	0	1
infravaloramos	underestimate	0	-1	0	-1	-1	1	1	-1	-1
redefinen	be	0	1	0	0	0	0	1	0	1
explota	exploit	0	-1	-1	-1	0	1	1	-1	0
circulaba	be	0	1	0	0	0	0	1	0	1
contrapongan	play	1	1	1	1	1	1	1	0	1
visión	view	0	0	0	1	0	1	1	0	0
subterránea	grind	0	0	0	-1	0	0	1	0	1
exhortándoles	urge	1	1	1	1	0	1	1	1	1
proliferar	proliferate	0	0	0	0	0	1	1	0	0
estuviera	be	0	1	0	0	0	0	1	0	1
reubicando	relocate	0	1	1	1	1	1	1	0	1
subterráneo	be	0	1	0	0	0	0	1	0	1
-eficiencia	down	0	0	0	0	0	0	1	0	0
agraden	like	1	1	1	1	0	1	1	1	1
presuponiendo	lead	0	1	1	1	1	0	1	0	1
evocaba	have	1	1	1	0	0	1	1	0	1
sopló	blow	0	0	0	0	0	0	1	0	0
penalizadas	punish	0	0	-1	-1	0	1	1	-1	-1
rebelarse	rebel	0	0	0	-1	0	1	1	-1	1
común	share	1	1	1	0	1	1	1	0	1
paternidad	leave	0	0	0	0	0	0	1	-1	0
prevé	provide	1	1	1	1	1	1	1	0	1
pisotear	trample	0	-1	0	-1	0	1	0	-1	0
arbitradas	be	0	1	0	0	0	0	1	0	1
adolecer	invalidate	0	0	0	-1	0	1	1	0	0
tono	note	0	0	0	0	0	0	1	0	0
concluyan	conclude	1	1	1	1	0	1	1	0	1
veré	be	0	1	0	0	0	0	1	0	1
adelantándome	point	0	0	0	0	1	0	1	0	0
pretender	claim	1	1	1	0	1	1	1	0	1
financiarla	finance	1	1	1	1	1	1	1	0	1
adolecen	be	0	1	0	0	0	0	1	0	1
pospondrá	be	0	1	0	0	0	0	1	0	1
financiarlo	finance	1	1	1	1	1	1	1	0	1
sellado	seal	0	0	0	1	0	1	0	0	0
perjudicadas	affect	1	0	0	0	0	1	1	0	0
acuáticas	water	0	-1	0	-1	0	1	1	0	1
noes	vote	0	0	0	1	1	1	1	0	0
sellada	seal	0	0	0	1	0	1	0	0	0
sorteos	draw	0	0	1	1	1	1	0	0	0
sustancien	shoot	0	0	0	-1	0	-1	1	-1	0
perseguir	pursue	0	1	1	0	0	1	1	0	1
verduras	end	0	1	0	0	1	0	1	0	0
destruye	destroy	0	-1	-1	-1	0	1	0	-1	0
desbroce	clear	0	1	1	1	1	1	1	0	1
destruya	destroy	0	-1	-1	-1	0	1	0	-1	0
derribaban	down	0	0	0	0	0	0	1	0	0
Sjöstedt	concern	1	-1	0	-1	0	1	1	-1	0
excite	appeal	0	0	-1	-1	-1	1	1	0	0
traumas	conflict	0	0	0	-1	0	1	1	0	0
aplicaríamos	strengthen	1	1	0	1	0	1	1	1	0
transfiriendo	transfer	0	0	0	0	0	1	1	0	0
relacionarlos	relate	0	1	1	1	0	1	1	0	1
implementándose	be	0	1	0	0	0	0	1	0	1
mezclarse	mix	0	0	0	1	1	0	1	0	1
cogerles	catch	0	1	0	0	1	1	1	0	1
vago	dim	0	0	0	-1	0	0	1	0	0
postales	post	0	1	1	1	0	1	1	0	1
vaga	term	1	1	0	1	1	1	0	0	0
cordial	warm	1	1	0	1	0	1	1	1	0
amortizarán	pay	0	0	-1	0	0	-1	1	0	-1
enviaríamos	send	1	1	1	0	1	1	1	0	1
acuática-	account	0	0	0	0	0	1	1	0	0
caía	fall	0	0	0	-1	-1	0	1	0	-1
gestionemos	manage	1	1	1	1	1	1	1	0	1
estremecidos	shock	0	0	0	-1	0	1	-1	-1	0
sacó	bring	0	0	1	1	0	0	1	0	0
formalizando	conclude	1	1	1	1	0	1	1	0	1
iniciarían	begin	1	1	1	1	0	1	1	0	1
recompensando	reward	1	1	1	1	0	1	1	1	1
voluntarismo	approach	0	1	1	0	1	1	1	0	1
encaminamos	be	0	1	0	0	0	0	1	0	1
facilitase	provide	1	1	1	1	1	1	1	0	1
surtirán	be	0	1	0	0	0	0	1	0	1
erosiona	erode	0	-1	0	-1	0	1	0	0	0
comprenderemos	understand	1	1	1	1	1	1	1	0	1
vinculación	link	1	1	1	1	1	1	1	0	0
expusiesen	be	0	1	0	0	0	0	1	0	1
escarmentado	feel	1	1	1	0	0	0	1	0	1
textos	document	0	0	0	0	0	1	1	0	0
raíles	track	-1	1	-1	-1	1	1	1	-1	1
cono	respect	1	1	1	1	0	1	1	1	1
reiteraría	reiterate	0	1	0	1	1	1	1	0	0
saboteado	sabotage	0	-1	0	-1	0	1	0	-1	0
igualitaria	equal	1	1	0	1	0	1	1	0	1
indíquese	set	0	0	1	1	1	1	1	0	1
trasera	back	1	1	1	1	1	1	1	1	1
trasero	back	1	1	1	1	1	1	1	1	1
limitaría	limit	0	0	0	-1	0	1	1	0	0
anual	draw	0	0	1	1	1	1	0	0	0
saboteada	sabotage	0	-1	0	-1	0	1	0	-1	0
preconicen	believe	0	0	1	1	0	1	1	1	1
reivindicación	demand	0	0	1	1	0	1	1	0	1
considerarnos	be	0	1	0	0	0	0	1	0	1
comprometería	compromise	0	-1	0	-1	-1	1	0	0	0
obstaculizarán	hamper	0	-1	-1	-1	0	1	-1	-1	-1
-imagen	be	0	1	0	0	0	0	1	0	1
desembolsos	spend	0	1	0	0	0	0	1	0	0
vendados	blindfold	0	-1	-1	-1	0	1	1	0	0
combinarán	combine	1	1	1	1	1	1	1	0	1
capturen	catch	0	1	0	0	1	1	1	0	1
guardaría	be	0	1	0	0	0	0	1	0	1
enfade	do	1	1	1	0	0	1	1	0	1
preferencia	prefer	0	0	1	1	1	1	1	0	1
enmendando	amend	1	1	1	1	1	1	1	0	1
recrudescencia	increase	1	1	0	1	0	1	1	0	1
prohibiéndola	do	1	1	1	0	0	1	1	0	1
pertinentes	appropriate	0	1	1	1	1	1	1	0	1
desguaza	scrap	0	0	-1	-1	-1	0	1	0	-1
abastece	supply	0	0	1	1	1	1	1	0	1
celebrándose	take	1	1	1	0	1	1	1	0	1
dedicarles	give	0	1	1	0	0	0	1	0	1
uniéndose	join	1	1	1	1	1	1	1	1	1
creadoras	create	1	1	0	1	1	1	1	0	0
supervisan	monitor	0	1	1	1	1	0	1	0	0
chatarra	scrap	0	0	-1	-1	-1	0	1	0	-1
Parma	locate	0	1	0	1	1	1	1	0	0
congelan	freeze	0	0	0	0	0	1	0	-1	0
retengan	retain	1	1	1	1	1	1	1	0	1
supervisar	monitor	0	1	1	1	1	0	1	0	0
dégagement	go	0	0	0	0	0	0	1	0	0
moderarla	down	0	0	0	0	0	0	1	0	0
forcejeo	wrangle	0	-1	0	-1	0	1	1	0	1
invitan	invite	1	1	1	1	1	1	1	1	1
incentiva	encourage	1	1	1	1	0	1	1	1	1
relanzamiento	boost	0	0	0	1	0	1	1	0	0
cultivarlo	grow	1	1	1	1	1	1	1	0	1
reservará	reserve	0	0	1	0	1	1	1	0	1
resolviese	resolve	-1	1	0	0	1	-1	1	0	1
agotamiento	deplete	0	-1	0	-1	0	1	-1	-1	0
repararlo	repair	0	1	0	1	1	1	1	0	1
planeaba	plan	1	1	1	1	1	1	1	0	1
repararla	repair	0	1	0	1	1	1	1	0	1
reiterados	repeat	0	1	0	1	0	1	1	0	0
piscifactoría	farm	0	1	1	1	1	1	1	0	1
maestras	point	0	0	0	0	1	0	1	0	0
rebatidos	raise	0	0	1	1	0	0	1	0	1
patriótico	do	1	1	1	0	0	1	1	0	1
operación	exercise	1	1	1	1	1	1	1	0	1
colocarles	be	0	1	0	0	0	0	1	0	1
materializada	embody	1	1	1	1	1	1	1	0	1
materializado	become	0	0	0	0	0	0	1	0	0
extensivas	extend	0	1	1	1	1	1	1	0	1
yugoslavista	involve	0	0	0	0	1	1	1	0	0
adjunte	attach	0	0	1	1	1	1	1	0	0
cuestaciones	collect	1	1	1	1	1	1	1	0	1
explorado	explore	0	1	1	1	1	1	1	0	1
vigencia	force	0	0	0	-1	0	1	0	-1	0
cerró	close	0	1	1	0	0	1	1	0	1
ayudadas	help	1	1	0	1	0	1	1	1	0
explorada	explore	0	1	1	1	1	1	1	0	1
ascendiendo	move	0	0	0	1	0	1	1	0	0
mercancía	like	1	1	1	1	0	1	1	1	1
desguacen	scrap	0	0	-1	-1	-1	0	1	0	-1
cometamos	make	0	0	0	1	0	0	1	0	0
dotarlos	provide	1	1	1	1	1	1	1	0	1
centrara	focus	1	1	1	1	0	1	1	0	1
cerré	close	0	1	1	0	0	1	1	0	1
pecó	be	0	1	0	0	0	0	1	0	1
ocasionarles	cause	-1	-1	0	0	0	-1	0	0	0
costes-beneficios	benefit	1	1	0	1	1	1	1	1	1
cuales	be	0	1	0	0	0	0	1	0	1
parchís	roll	0	0	1	0	0	0	1	0	1
viñeta	turn	0	0	0	0	0	0	1	0	0
enfada	anger	0	-1	0	-1	0	1	0	-1	0
testada	date	0	0	1	0	1	0	1	0	1
películas	film	0	0	1	1	0	1	1	0	1
-dada	give	0	1	1	0	0	0	1	0	1
trágicamente	say	0	0	0	0	0	0	1	0	0
juntaremos	be	0	1	0	0	0	0	1	0	1
traicionado	betray	1	-1	-1	-1	0	1	1	-1	0
ordenó	order	0	0	0	-1	0	0	1	0	0
obligándola	force	0	0	0	-1	0	1	0	-1	0
-dado	give	0	1	1	0	0	0	1	0	1
Sacrédeus	address	1	1	0	1	1	1	1	0	1
apellidos	name	0	1	1	1	1	1	1	0	1
categórica	word	0	1	0	0	0	0	1	0	0
categórico	blunt	0	0	0	-1	0	1	0	0	0
Munich-Verona	route	0	0	0	0	0	1	1	0	0
libretas	book	0	0	1	1	1	1	1	0	1
crecimos	grow	1	1	1	1	1	1	1	0	1
desataron	start	1	1	1	1	1	1	1	0	1
delatan	betray	1	-1	-1	-1	0	1	1	-1	0
compartieron	share	1	1	1	0	1	1	1	0	1
noruegas	uphold	1	1	1	1	1	1	1	0	1
ralentizarse	down	0	0	0	0	0	0	1	0	0
otorgaría	give	0	1	1	0	0	0	1	0	1
contengan	contain	0	0	0	0	0	0	1	0	0
teológica	be	0	1	0	0	0	0	1	0	1
orden-	order	0	0	0	-1	0	0	1	0	0
específicos	specify	0	0	0	1	0	1	1	0	1
aceleradas	accelerate	0	0	0	1	0	1	0	0	0
concertar	conclude	1	1	1	1	0	1	1	0	1
desfasadas	date	0	0	1	0	1	0	1	0	1
ajustaron	be	0	1	0	0	0	0	1	0	1
Italia	can	0	0	0	0	0	1	1	0	1
asesoradas	counsel	1	1	0	1	0	1	1	0	1
adjunta	attach	0	0	1	1	1	1	1	0	0
críen	breed	-1	-1	0	1	0	0	0	0	0
relatados	relate	0	1	1	1	0	1	1	0	1
camión	truck	0	0	0	0	1	0	1	0	0
instiga	instigate	0	0	0	-1	0	1	0	-1	1
resto	rest	1	1	1	1	1	1	1	0	1
gasoil	fuel	0	0	0	1	1	1	1	0	1
elevando	raise	0	0	1	1	0	0	1	0	1
ampliándolo	extend	0	1	1	1	1	1	1	0	1
entones	be	0	1	0	0	0	0	1	0	1
cooperen	cooperate	0	1	0	1	1	1	1	0	1
formularme	ask	0	0	0	0	1	1	1	0	0
juez	judge	0	0	-1	-1	1	1	1	-1	0
Xanthi	plunge	0	-1	0	-1	0	0	1	-1	0
pedirse	be	0	1	0	0	0	0	1	0	1
disminuidas	be	0	1	0	0	0	0	1	0	1
solicitud	request	0	0	1	0	1	1	1	0	1
existente	exist	1	1	1	0	1	0	1	0	1
detallarlos	describe	0	0	0	1	0	0	1	0	1
autoexcluido	close	0	1	1	0	0	1	1	0	1
cercioren	take	1	1	1	0	1	1	1	0	1
MINURSO	mandate	0	0	1	1	0	1	1	0	1
equiparo	equate	0	0	0	0	0	1	1	0	0
Graz	try	0	1	1	0	1	1	1	0	0
Imaginen	imagine	0	0	0	0	0	0	1	0	0
dudamos	doubt	0	0	-1	-1	0	1	1	0	-1
supervisarlos	monitor	0	1	1	1	1	0	1	0	0
descaro	approach	0	1	1	0	1	1	1	0	1
ordene	order	0	0	0	-1	0	0	1	0	0
inamovibles	stone	0	0	0	-1	0	1	1	0	1
arrasada	devastate	1	-1	0	-1	0	1	-1	-1	0
cultiven	cultivate	1	1	1	1	1	1	1	0	1
desasosiego	concern	1	-1	0	-1	0	1	1	-1	0
Gran	be	0	1	0	0	0	0	1	0	1
peer	peer	0	1	0	0	1	1	1	0	1
favorecerá	promote	1	1	1	1	1	1	1	0	1
arrasado	sweep	1	0	0	0	0	1	1	0	0
selva	tangle	0	-1	0	-1	0	0	-1	0	0
ferroviarios	train	1	1	1	1	1	1	1	1	1
tendencias	side	0	0	0	0	1	0	1	0	0
Jartún	sell	0	0	0	0	1	1	1	0	1
alineadas	blind	0	0	-1	-1	0	1	1	0	0
minamos	undermine	0	-1	0	-1	0	1	0	0	0
evidenciando	make	0	0	0	1	0	0	1	0	0
indebidamente	misuse	0	-1	-1	-1	-1	1	1	-1	-1
anchas	please	0	0	0	1	0	1	1	1	0
opio	level	0	1	1	1	1	0	1	0	1
queréis	want	1	0	1	0	0	1	1	0	1
radicado	base	0	1	1	1	1	1	1	0	1
superproducción	dismantle	0	0	0	-1	1	1	1	0	1
aferrará	grab	0	0	-1	-1	0	1	1	-1	0
gallega	reiterate	0	1	0	1	1	1	1	0	0
saliendo	come	0	1	0	0	0	0	1	0	0
personajes	figure	0	0	0	0	0	0	0	0	0
repartió	distribute	1	1	1	0	1	1	1	0	1
instalación	install	1	0	1	1	1	1	1	0	0
Apéndice	list	0	0	0	1	0	0	1	0	1
perdone	forgive	1	1	1	1	1	1	1	1	1
colocados	place	0	0	1	1	1	1	1	0	1
lavar	wash	0	1	1	1	0	1	1	0	1
expresión-	say	0	0	0	0	0	0	1	0	0
lavan	wash	0	1	1	1	0	1	1	0	1
OISIN	prove	0	0	0	1	0	1	1	0	1
proporcionadas	provide	1	1	1	1	1	1	1	0	1
triunvirato	head	1	0	1	1	1	1	1	0	1
sustentarán	work	1	1	1	1	0	1	1	0	1
Müller	say	0	0	0	0	0	0	1	0	0
contentamos	be	0	1	0	0	0	0	1	0	1
compensamos	compensate	0	0	0	1	0	1	1	1	0
Mahoma	lower	-1	1	1	0	0	1	1	0	1
influirá	influence	0	0	0	0	0	1	1	0	0
marginada	be	0	1	0	0	0	0	1	0	1
avenirse	agree	0	0	0	0	1	1	1	0	1
traición	betray	1	-1	-1	-1	0	1	1	-1	0
redactase	draw	0	0	1	1	1	1	0	0	0
salvaguardarlo	safeguard	1	1	0	1	0	1	1	1	1
marginado	marginalize	0	0	0	-1	0	1	0	-1	0
apilando	pile	0	0	0	-1	0	0	1	0	0
presididas	head	1	0	1	1	1	1	1	0	1
adhiriendo	join	1	1	1	1	1	1	1	1	1
euro-atlánticas	be	0	1	0	0	0	0	1	0	1
cierne	hang	0	0	0	1	0	1	1	0	0
referendums	need	0	1	1	0	0	1	1	0	0
impulsara	drive	1	1	0	1	0	1	1	0	1
agronómica	crop	0	0	1	0	1	1	1	0	1
reanude	resume	1	1	1	1	1	1	1	0	1
mortalidad	rate	0	1	0	1	0	0	1	0	0
reanuda	resume	1	1	1	1	1	1	1	0	1
Belder	draw	0	0	1	1	1	1	0	0	0
abrieron	open	1	1	1	1	0	0	1	0	1
consumamos	consume	0	0	1	0	1	1	1	0	1
sacrificando	sacrifice	1	0	1	-1	-1	1	1	0	0
análisis	test	0	1	1	0	1	1	1	0	1
hambrientos	starve	0	-1	-1	-1	0	1	0	-1	1
Crear	create	1	1	0	1	1	1	1	0	0
reproductiva	care	1	1	1	1	0	1	1	0	1
elaborarán	be	0	1	0	0	0	0	1	0	1
tropezaremos	run	0	1	1	1	1	1	1	0	1
ampliase	extend	0	1	1	1	1	1	1	0	1
identificable	identify	0	0	-1	0	0	1	1	0	0
despenalización	follow	0	0	1	1	1	1	1	0	1
nervio	term	1	1	0	1	1	1	0	0	0
compararan	shop	0	0	1	0	1	1	1	0	1
repara	repair	0	1	0	1	1	1	1	0	1
visitaron	visit	1	1	1	1	1	1	1	1	1
constituyamos	set	0	0	1	1	1	1	1	0	1
sindicatos-	trade	0	1	1	1	1	1	1	0	1
marsopas	practice	0	0	1	1	0	0	1	0	0
repartir	share	1	1	1	0	1	1	1	0	1
subvencionando	support	1	1	1	1	0	1	1	1	1
aplaudamos	applaud	1	1	1	1	1	1	1	1	1
responsable-	make	0	0	0	1	0	0	1	0	0
contratantes	contract	-1	0	-1	0	-1	-1	1	0	-1
desviar	divert	0	0	0	0	1	0	0	0	0
viviésemos	be	0	1	0	0	0	0	1	0	1
tractores	wheel	0	0	0	0	1	1	1	0	1
Incluirá	include	1	1	1	1	1	1	1	1	0
optaremos	opt	1	1	1	0	1	1	1	0	1
empate	tie	0	0	0	0	1	1	1	0	0
infunda	give	0	1	1	0	0	0	1	0	1
ugandesa	make	0	0	0	1	0	0	1	0	0
exitosas	progress	1	1	0	1	1	1	1	0	1
complicadas	complicate	0	-1	0	-1	0	1	0	0	0
bañera	be	0	1	0	0	0	0	1	0	1
analizarlas	look	0	1	1	0	0	0	1	0	1
tradiciones	practice	0	0	1	1	0	0	1	0	0
vejaciones	include	1	1	1	1	1	1	1	1	0
enmarcando	portray	1	1	1	1	1	1	1	1	1
suavizados	water	0	-1	0	-1	0	1	1	0	1
aislados	isolate	0	0	-1	-1	0	1	1	-1	0
récord	record	1	1	1	1	1	1	1	0	1
racionalizarse	be	0	1	0	0	0	0	1	0	1
discutía	discuss	1	1	0	1	1	1	1	0	1
-gracias	thank	1	1	1	1	1	1	1	1	1
inexistentes	do	1	1	1	0	0	1	1	0	1
evasiva	escape	-1	0	-1	0	1	-1	1	0	1
autorizarse	be	0	1	0	0	0	0	1	0	1
respetuosas	respect	1	1	1	1	0	1	1	1	1
test	test	0	1	1	0	1	1	1	0	1
sucederá-	be	0	1	0	0	0	0	1	0	1
limitándome	comment	0	0	0	0	0	1	1	0	1
denigrante	down	0	0	0	0	0	0	1	0	0
pensemos	think	0	0	1	1	1	1	1	1	0
irme	go	0	0	0	0	0	0	1	0	0
reanudó	resume	1	1	1	1	1	1	1	0	1
esforzaré	do	1	1	1	0	0	1	1	0	1
interpondrá	court	1	1	1	1	1	1	1	1	1
impedirse	be	0	1	0	0	0	0	1	0	1
declararán	be	0	1	0	0	0	0	1	0	1
intensificar	intensify	0	0	0	0	0	1	0	0	0
responsables	charge	-1	0	0	-1	1	1	1	-1	1
herbáceos	crop	0	0	1	0	1	1	1	0	1
Arusha	function	0	1	0	1	1	1	1	0	0
profesoras	account	0	0	0	0	0	1	1	0	0
concorde	term	1	1	0	1	1	1	0	0	0
muletas	form	1	1	1	1	1	1	1	0	1
cortaría	cut	0	0	0	-1	0	0	1	0	0
planteáramos	do	1	1	1	0	0	1	1	0	1
mostrarían	show	1	1	1	0	1	0	1	0	0
observables	resort	0	0	1	0	0	1	1	0	1
desarrolláramos	develop	0	1	0	1	0	0	1	0	0
ejercieran	exercise	1	1	1	1	1	1	1	0	1
diversificadas	diversify	0	0	0	0	1	1	1	0	0
obligaran	be	0	1	0	0	0	0	1	0	1
enriqueciendo	enrich	1	1	1	1	1	1	1	1	1
lides	regret	-1	0	-1	-1	-1	-1	1	0	-1
repartiera	share	1	1	1	0	1	1	1	0	1
actualizar	update	0	1	0	1	1	1	1	0	1
denegó	refuse	0	0	-1	-1	0	1	1	-1	0
gallinas	farm	0	1	1	1	1	1	1	0	1
abstienen	abstain	0	0	-1	0	0	0	1	0	1
descubran	discover	0	1	0	1	1	1	1	0	0
mercantilistas	trade	0	1	1	1	1	1	1	0	1
palestra	stage	0	1	1	1	1	0	1	0	1
ratificaron	ratify	1	1	1	1	1	1	1	0	1
definiríamos	define	0	0	0	1	1	1	1	0	0
empezasen	begin	1	1	1	1	0	1	1	0	1
importarse	import	0	0	0	1	1	1	1	0	1
respondiese	answer	0	1	0	1	0	0	1	0	0
funciones	function	0	1	0	1	1	1	1	0	0
aclara	clarify	0	1	1	1	1	1	1	0	1
ardió	be	0	1	0	0	0	0	1	0	1
absolución	pardon	1	1	1	1	0	1	1	1	1
aclare	clarify	0	1	1	1	1	1	1	0	1
justifico	justify	0	0	1	1	1	1	1	0	1
justifica	justify	0	0	1	1	1	1	1	0	1
clásicos	down	0	0	0	0	0	0	1	0	0
enjuiciamos	be	0	1	0	0	0	0	1	0	1
muestrear	accord	1	0	0	1	0	1	1	0	1
aclaro	like	1	1	1	1	0	1	1	1	1
escogí	choose	1	1	1	1	1	1	1	1	1
equivoquemos	mistake	0	0	-1	-1	-1	1	1	-1	-1
felicitándola	congratulate	1	1	1	1	1	1	1	1	1
adelantando	forward	1	1	0	1	1	1	1	0	1
facultaba	blackmail	0	-1	-1	-1	0	1	0	-1	1
creciendo	grow	1	1	1	1	1	1	1	0	1
desinversiones	devise	1	1	1	1	1	1	1	0	1
felicitándolo	congratulate	1	1	1	1	1	1	1	1	1
encargar	commission	1	1	1	1	1	1	1	1	1
quebranta	be	0	1	0	0	0	0	1	0	1
hospitalarios	welcome	1	1	1	1	1	1	1	1	1
comprometidas	commit	-1	-1	0	0	-1	0	1	0	-1
encargan	deal	0	0	0	0	0	0	0	0	0
lamentarnos	regret	-1	0	-1	-1	-1	-1	1	0	-1
desenfrenado	reassure	1	1	1	1	0	1	1	1	1
comunitario	single	0	0	0	-1	0	0	1	0	0
desenfrenada	form	1	1	1	1	1	1	1	0	1
comunitaria	do	1	1	1	0	0	1	1	0	1
prometió	promise	1	1	1	1	1	1	1	0	1
UNICEF	provide	1	1	1	1	1	1	1	0	1
evaden	evade	-1	0	-1	-1	1	-1	1	-1	1
perfilando	take	1	1	1	0	1	1	1	0	1
acentuará	exacerbate	0	-1	0	-1	0	0	0	-1	0
acueductos	water	0	-1	0	-1	0	1	1	0	1
balístico	touch	1	0	1	0	0	1	1	0	1
jugarse	play	1	1	1	1	1	1	1	0	1
turno	time	0	0	1	0	1	0	1	0	1
ensanchándose	grow	1	1	1	1	1	1	1	0	1
modernizarse	be	0	1	0	0	0	0	1	0	1
revisara	review	0	0	0	1	0	1	1	0	0
coccidiostáticos	be	0	1	0	0	0	0	1	0	1
alfa	be	0	1	0	0	0	0	1	0	1
alquiler-compra	concern	1	-1	0	-1	0	1	1	-1	0
cosa	be	0	1	0	0	0	0	1	0	1
bibliografía	show	1	1	1	0	1	0	1	0	0
equiparar	equate	0	0	0	0	0	1	1	0	0
clientelas	support	1	1	1	1	0	1	1	1	1
coalition	be	0	1	0	0	0	0	1	0	1
desploman	be	0	1	0	0	0	0	1	0	1
extraemos	draw	0	0	1	1	1	1	0	0	0
equiparan	equate	0	0	0	0	0	1	1	0	0
CMR	read	0	0	1	0	1	0	1	0	1
Sui	help	1	1	0	1	0	1	1	1	0
razón	reason	0	0	0	0	0	0	1	0	1
aclaró	clarify	0	1	1	1	1	1	1	0	1
Peticiones	petition	1	0	1	1	1	1	1	0	1
retomen	take	1	1	1	0	1	1	1	0	1
inmediata	prompt	1	1	1	1	1	1	1	1	1
transgredir	break	0	0	-1	-1	1	1	1	0	1
demográfico	cope	0	1	0	0	1	1	1	0	1
tentación	tempt	0	-1	0	-1	0	1	0	-1	0
Ford	control	1	0	1	0	1	1	1	0	1
ilusión	forward	1	1	0	1	1	1	1	0	1
propondré	propose	0	1	1	1	0	0	1	0	1
clausurará	end	0	1	0	0	1	0	1	0	0
aclaré	clear	0	1	1	1	1	1	1	0	1
acojo	welcome	1	1	1	1	1	1	1	1	1
examinadores	drive	1	1	0	1	0	1	1	0	1
derramar	shed	0	1	0	0	0	1	1	0	0
abrazan	be	0	1	0	0	0	0	1	0	1
escoge	choose	1	1	1	1	1	1	1	1	1
conjuros	be	0	1	0	0	0	0	1	0	1
botes	word	0	1	0	0	0	0	1	0	0
privatizan	be	0	1	0	0	0	0	1	0	1
didácticos	play	1	1	1	1	1	1	1	0	1
abrazar	embrace	1	1	1	1	1	1	1	1	1
horrendas	see	1	1	1	1	1	1	1	0	1
quebrantó	make	0	0	0	1	0	0	1	0	0
sanitariamente	be	0	1	0	0	0	0	1	0	1
esquizofrénicos	try	0	1	1	0	1	1	1	0	0
43.	answer	0	1	0	1	0	0	1	0	0
ascendentes	grow	1	1	1	1	1	1	1	0	1
aperturas	open	1	1	1	1	0	0	1	0	1
constatarla	note	0	0	0	0	0	0	1	0	0
revisaré	look	0	1	1	0	0	0	1	0	1
desencadenen	trigger	0	0	0	1	0	0	0	0	0
revisará	review	0	0	0	1	0	1	1	0	0
interprofesionales	trade	0	1	1	1	1	1	1	0	1
rotatorios	revolve	0	0	0	0	0	0	1	0	0
atenga	stick	0	0	0	0	-1	1	1	0	-1
chárter	charter	1	1	1	1	1	1	1	1	1
cien	approach	0	1	1	0	1	1	1	0	1
extra	create	1	1	0	1	1	1	1	0	0
medite	reconsider	0	1	0	1	0	1	1	0	1
