sv Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
rekreationsvatten	water	0	-1	0	-1	0	1	1	0	1
embryoforskning	research	0	-1	1	1	1	1	1	0	1
koldioxidhandel	trade	0	1	1	1	1	1	1	0	1
snedsteget	fly	0	1	1	0	0	0	1	0	1
arbetstagaren	be	0	1	0	0	0	0	1	0	1
missiler	launch	1	1	1	1	1	1	1	0	1
subventionspolitik	lack	0	0	0	0	-1	1	1	0	-1
medarbetar	collaborate	0	1	1	1	1	1	1	0	1
effektiviserades	strengthen	1	1	0	1	0	1	1	1	0
sågverk	see	1	1	1	1	1	1	1	0	1
tangera	do	1	1	1	0	0	1	1	0	1
arbetstagares	work	1	1	1	1	0	1	1	0	1
Kelly	have	1	1	1	0	0	1	1	0	1
beloppens	involve	0	0	0	0	1	1	1	0	0
privatiseringsintentioner	clear	0	1	1	1	1	1	1	0	1
fastsällande	draw	0	0	1	1	1	1	0	0	0
räntorna	rate	0	1	0	1	0	0	1	0	0
handelsrabatter	prevent	0	0	0	-1	0	1	1	-1	0
kolanvändning	capture	0	0	1	0	1	1	1	-1	1
påbörjat	start	1	1	1	1	1	1	1	0	1
regionfonderna	fund	1	1	1	1	1	1	1	0	1
påbörjar	start	1	1	1	1	1	1	1	0	1
påbörjas	start	1	1	1	1	1	1	1	0	1
våldtar	rape	0	-1	-1	-1	0	1	0	-1	1
miljöfrågornas	issue	0	0	0	1	0	1	1	0	0
Principöverensstämmelsen	show	1	1	1	0	1	0	1	0	0
vägtransportmarknaderna	market	0	0	0	1	1	1	1	0	1
antibiotikaresistens	measure	0	1	0	0	0	0	1	0	1
vatten	water	0	-1	0	-1	0	1	1	0	1
hårklyveri	sort	0	0	0	1	0	1	1	0	0
förbehållna	reserve	0	0	1	0	1	1	1	0	1
finansieringskällor	fund	1	1	1	1	1	1	1	0	1
påbörjad	engage	0	0	0	1	1	1	1	0	1
inkorporeras	incorporate	0	0	1	1	0	1	1	0	1
kontonummer	account	0	0	0	0	0	1	1	0	0
samarbetsmöjligheter	open	1	1	1	1	0	0	1	0	1
åttio	begin	1	1	1	1	0	1	1	0	1
Parlamentarisk	post	0	1	1	1	0	1	1	0	1
snabbprocess	do	1	1	1	0	0	1	1	0	1
milleniumproblemet	require	0	1	1	0	1	1	1	0	0
ringtester	string	0	1	0	1	0	1	1	0	0
civila	implement	1	1	1	1	1	1	1	0	1
strandar	fail	0	0	-1	-1	-1	0	1	-1	-1
rotas	root	1	0	1	1	1	1	1	0	0
rotar	root	1	0	1	1	1	1	1	0	0
bannlysta	ban	0	-1	-1	-1	0	1	1	0	0
rotat	root	1	0	1	1	1	1	1	0	0
strandat	fail	0	0	-1	-1	-1	0	1	-1	-1
pressfrihetens	press	0	1	0	-1	0	1	1	-1	0
flykthjälp	be	0	1	0	0	0	0	1	0	1
skattelagstiftningen	tax	0	0	1	1	1	0	1	0	1
krucifix	display	0	0	0	1	0	0	1	0	0
lektioner	lecture	0	1	1	1	1	1	1	0	1
stormaktskomplex	do	1	1	1	0	0	1	1	0	1
lektionen	be	0	1	0	0	0	0	1	0	1
flygoperationer	air	0	0	0	-1	0	1	0	0	0
rotad	root	1	0	1	1	1	1	1	0	0
generera	generate	0	0	1	1	1	1	1	0	1
utbildningsarbetet	be	0	1	0	0	0	0	1	0	1
försäkringsföretagen	be	0	1	0	0	0	0	1	0	1
transportfordonen	be	0	1	0	0	0	0	1	0	1
sällsynta	receive	1	1	1	0	1	1	1	0	1
programfasen	phase	0	0	0	1	1	0	1	0	0
fördröjandet	own	0	1	1	1	1	1	1	0	1
saknaden	miss	1	1	0	0	-1	1	1	0	-1
Hughes-förfarandet	draw	0	0	1	1	1	1	0	0	0
analysregister	file	0	1	0	0	0	1	1	0	0
kommenterar	comment	0	0	0	0	0	1	1	0	1
kommenteras	comment	0	0	0	0	0	1	1	0	1
läkarutförda	assist	1	1	1	1	1	1	1	1	1
jordbruksinkomsterna	farm	0	1	1	1	1	1	1	0	1
obestridliga	dispute	0	0	-1	-1	-1	1	1	0	-1
turisters	do	1	1	1	0	0	1	1	0	1
narkotikabruket	be	0	1	0	0	0	0	1	0	1
diskussion	debate	0	1	0	1	1	1	1	0	0
oriktigt	misrepresent	0	-1	0	-1	0	1	0	-1	0
oomtvistlig	enable	1	1	0	1	1	1	1	1	0
bevisnivåer	take	1	1	1	0	1	1	1	0	1
slöseriet	waste	0	-1	0	-1	-1	1	1	0	-1
investeringskapacitet	question	0	0	1	1	1	1	1	0	1
losskopplade	be	0	1	0	0	0	0	1	0	1
saknades	lack	0	0	0	0	-1	1	1	0	-1
personalbristen	staff	1	1	1	1	1	1	1	0	1
2010-2020	put	1	1	1	0	1	1	1	0	1
välskriven	write	1	1	1	1	1	1	1	0	1
grundtrygghet	level	0	1	1	1	1	0	1	0	1
kodade	code	1	1	0	1	0	1	1	0	0
associerade	associate	0	0	0	0	0	0	1	0	0
djurkloner	level	0	1	1	1	1	0	1	0	1
framtvingande	object	0	0	0	1	0	0	1	0	1
bottenvåningen	grind	0	0	0	-1	0	0	1	0	1
fortsätta	continue	1	1	1	1	1	0	1	0	1
miniminivåerna	level	0	1	1	1	1	0	1	0	1
hjärnskador	damage	1	-1	0	-1	0	1	-1	-1	0
skattesubventioner	tax	0	0	1	1	1	0	1	0	1
piraterna	be	0	1	0	0	0	0	1	0	1
Taipei	be	0	1	0	0	0	0	1	0	1
formulären	form	1	1	1	1	1	1	1	0	1
valmöjligheterna	increase	1	1	0	1	0	1	1	0	1
kopieringen	copy	0	0	0	1	1	1	1	0	1
konvergensprogram	plan	1	1	1	1	1	1	1	0	1
randgrupp	see	1	1	1	1	1	1	1	0	1
landssorg	mourn	-1	1	-1	-1	0	-1	1	1	1
sanktioners	sanction	0	-1	-1	-1	0	1	1	0	1
dräglig	earn	1	1	1	0	1	1	1	0	1
tigit	remain	0	0	0	0	0	0	1	0	0
parallellhandeln	parallel	0	0	0	1	1	0	1	0	0
försäkringsskydd	cover	0	0	0	1	1	1	1	0	0
jordbruksintressen	farm	0	1	1	1	1	1	1	0	1
skenar	be	0	1	0	0	0	0	1	0	1
formuläret	form	1	1	1	1	1	1	1	0	1
sanktionera	sanction	0	-1	-1	-1	0	1	1	0	1
oprövade	set	0	0	1	1	1	1	1	0	1
skenat	bolster	0	1	1	1	1	1	1	0	1
eftersöka	seek	1	1	1	1	1	1	1	0	1
energiförsörjningsområdet	supply	0	0	1	1	1	1	1	0	1
premiärministrarna	need	0	1	1	0	0	1	1	0	0
lysin	account	0	0	0	0	0	1	1	0	0
kontorsutgifter	need	0	1	1	0	0	1	1	0	0
ansvarslöshet	be	0	1	0	0	0	0	1	0	1
Haparanda	be	0	1	0	0	0	0	1	0	1
polismyndighetens	police	0	0	0	-1	0	1	1	0	0
representativt	represent	0	1	0	1	0	1	1	0	0
ECHO-fallet	resolve	-1	1	0	0	1	-1	1	0	1
eftersöks	be	0	1	0	0	0	0	1	0	1
eftersökt	seek	1	1	1	1	1	1	1	0	1
krisområden	zone	0	0	0	0	0	0	1	0	0
stagnerande	decline	0	0	-1	-1	0	1	1	0	0
varskott	give	0	1	1	0	0	0	1	0	1
beröringspunkter	point	0	0	0	0	1	0	1	0	0
hjälptelefon	telephone	1	1	1	1	1	1	1	1	1
dödsoffren	die	0	1	0	-1	-1	1	1	0	-1
försäljningspris	price	0	0	1	1	1	0	1	0	1
näringsgrenar	account	0	0	0	0	0	1	1	0	0
6a	exclude	0	0	-1	-1	0	1	1	0	0
transportutsläppen	transport	0	1	0	1	1	1	1	0	0
hällde	pour	0	1	1	1	0	1	1	0	1
framläggning	fashion	1	0	0	-1	1	0	1	0	1
ypperliga	resolve	-1	1	0	0	1	-1	1	0	1
persontransport	transport	0	1	0	1	1	1	1	0	0
utbildningsmarknaden	market	0	0	0	1	1	1	1	0	1
borga	guarantee	1	1	1	1	1	1	1	1	1
huvudkrav	demand	0	0	1	1	0	1	1	0	1
telefonera	telephone	1	1	1	1	1	1	1	1	1
bedrägeribekämpning	fight	-1	0	-1	-1	0	0	1	0	-1
Europa-Medelhavsbank	notice	1	1	1	0	1	1	1	0	0
uppgiftens	discourage	0	0	-1	-1	0	1	1	-1	0
Cook	go	0	0	0	0	0	0	1	0	0
EU-myndigheter	intervene	0	0	0	-1	0	1	1	0	1
ypperligt	piece	0	0	0	0	1	0	1	0	1
kvalitetsgaranti	guarantee	1	1	1	1	1	1	1	1	1
Berlinmurens	fall	0	0	0	-1	-1	0	1	0	-1
EU-	level	0	1	1	1	1	0	1	0	1
sällsamt	knock	0	-1	-1	-1	0	1	0	-1	0
beskatta	tax	0	0	1	1	1	0	1	0	1
blymynt	involve	0	0	0	0	1	1	1	0	0
exporterna	export	0	0	1	0	1	1	1	0	1
procentsatserna	rate	0	1	0	1	0	0	1	0	0
upptogs	be	0	1	0	0	0	0	1	0	1
kärnöverföring	transfer	0	0	0	0	0	1	1	0	0
normsystem	set	0	0	1	1	1	1	1	0	1
backen	reverse	0	0	-1	0	0	1	1	0	0
mandattid	term	1	1	0	1	1	1	0	0	0
informationsnivå	level	0	1	1	1	1	0	1	0	1
ribba	bar	0	0	-1	-1	1	1	1	0	0
transportleverantörer	transport	0	1	0	1	1	1	1	0	0
samhällsskick	form	1	1	1	1	1	1	1	0	1
Montego	regard	1	1	1	1	1	1	1	1	1
rättsskyddet	limit	0	0	0	-1	0	1	1	0	0
löneinflation	wage	0	1	1	1	1	1	1	0	1
XVI	move	0	0	0	1	0	1	1	0	0
tonar	play	1	1	1	1	1	1	1	0	1
inflationen	rate	0	1	0	1	0	0	1	0	0
inlåsta	lock	0	0	1	1	0	0	1	0	1
naturfenomen	face	0	0	0	0	1	1	1	0	1
sexhundra	be	0	1	0	0	0	0	1	0	1
bortåt	have	1	1	1	0	0	1	1	0	1
entrédörren	put	1	1	1	0	1	1	1	0	1
regeras	govern	1	1	1	1	1	1	1	0	1
regerar	govern	1	1	1	1	1	1	1	0	1
startperioden	place	0	0	1	1	1	1	1	0	1
undlåtit	do	1	1	1	0	0	1	1	0	1
energianvändande	depend	0	0	0	0	1	0	1	0	0
regerat	rule	1	1	1	1	1	1	1	0	1
beslutsförmågan	process	0	0	1	1	1	1	1	0	0
energipaket	package	0	0	0	1	1	0	1	0	1
konstitutionaliseringsprocess	process	0	0	1	1	1	1	1	0	0
färdig	complete	1	1	1	1	1	1	1	0	1
advokaterna	bar	0	0	-1	-1	1	1	1	0	0
latenta	comment	0	0	0	0	0	1	1	0	1
avfärdat	dismiss	0	0	-1	-1	0	0	1	-1	0
civilskyddsstyrkan	force	0	0	0	-1	0	1	0	-1	0
avfärdar	dismiss	0	0	-1	-1	0	0	1	-1	0
avfärdas	be	0	1	0	0	0	0	1	0	1
EU-utvidgning	round	0	0	0	0	1	0	1	0	0
byggplanerna	plan	1	1	1	1	1	1	1	0	1
vapenhandlarna	arm	0	0	0	-1	0	1	0	-1	0
inflytandesfär	influence	0	0	0	0	0	1	1	0	0
praxisen	practice	0	0	1	1	0	0	1	0	0
blandningen	mix	0	0	0	1	1	0	1	0	1
kvantifiering	try	0	1	1	0	1	1	1	0	0
krossat	crush	0	0	-1	-1	1	1	1	-1	0
handelsreglerna	trade	0	1	1	1	1	1	1	0	1
konjunkturavmattning	return	0	0	0	0	0	1	1	0	0
omstart	start	1	1	1	1	1	1	1	0	1
Zabell	write	1	1	1	1	1	1	1	0	1
diskussionsstadiet	stage	0	1	1	1	1	0	1	0	1
framtidsprojekt	project	0	0	1	1	1	1	1	0	1
bitvis	reach	0	1	0	0	0	1	1	0	0
köpslåendet	place	0	0	1	1	1	1	1	0	1
oljeläckan	spill	0	0	0	-1	-1	1	1	0	-1
skurkstat	state	0	1	1	1	0	1	1	0	0
punktvis	level	0	1	1	1	1	0	1	0	1
detaljrika	detail	0	0	0	1	0	0	1	0	0
utbildningskriterier	train	1	1	1	1	1	1	1	1	1
lapptäcke	resemble	0	1	0	1	0	1	1	0	0
inflationsbekämpning	fight	-1	0	-1	-1	0	0	1	0	-1
flygtimmarna	fail	0	0	-1	-1	-1	0	1	-1	-1
överfiskad	point	0	0	0	0	1	0	1	0	0
skriker	shout	0	1	0	0	0	1	1	0	0
tioårsplan	plan	1	1	1	1	1	1	1	0	1
skriken	cry	0	1	0	0	-1	0	1	0	-1
typologi	work	1	1	1	1	0	1	1	0	1
mjuklandning	land	0	0	1	0	0	1	1	0	1
näringslivsbas	shoot	0	0	0	-1	0	-1	1	-1	0
överfiskas	be	0	1	0	0	0	0	1	0	1
materialflöden	flow	0	0	0	0	0	0	1	0	0
huvuddragen	outline	1	1	1	1	1	1	1	0	1
XI	term	1	1	0	1	1	1	0	0	0
EU-anslutningen	join	1	1	1	1	1	1	1	1	1
införts	be	0	1	0	0	0	0	1	0	1
informationstransporter	put	1	1	1	0	1	1	1	0	1
stramare	tighten	0	0	0	0	0	1	1	0	0
trolla	conjure	0	1	1	1	1	1	1	0	1
bagateller	prove	0	0	0	1	0	1	1	0	1
talarstol	wish	1	1	1	1	1	1	1	1	1
organisationerna	be	0	1	0	0	0	0	1	0	1
triangeln	have	1	1	1	0	0	1	1	0	1
bifångster	discard	0	0	-1	-1	-1	1	1	0	-1
finansers	finance	1	1	1	1	1	1	1	0	1
domstolen	court	1	1	1	1	1	1	1	1	1
mellanting	compromise	0	-1	0	-1	-1	1	0	0	0
ledsamt	depress	0	-1	0	-1	0	1	0	-1	0
upproriska	rebel	0	0	0	-1	0	1	1	-1	1
ordförandeperioden	term	1	1	0	1	1	1	0	0	0
vattenförsörjnings-	water	0	-1	0	-1	0	1	1	0	1
tvångsarbetskraft	force	0	0	0	-1	0	1	0	-1	0
bränning	burn	0	-1	-1	-1	0	1	1	-1	0
lekboll	pressure	0	0	0	-1	0	0	1	-1	0
arbetskraftskostnader	cost	0	-1	0	0	0	0	1	-1	0
flyktingkolonner	lack	0	0	0	0	-1	1	1	0	-1
fullbordan	accomplish	1	1	1	1	1	1	1	0	1
proteinerna	do	1	1	1	0	0	1	1	0	1
gå	go	0	0	0	0	0	0	1	0	0
rättsinnehavarna	entitle	1	1	0	1	0	1	1	1	0
skolåren	forge	1	1	1	1	1	1	1	0	1
stramhet	discipline	1	1	1	1	0	1	1	0	1
händelsevis	happen	0	0	0	0	0	0	-1	0	0
oroa	worry	0	0	-1	-1	0	0	1	-1	-1
arbetskraftskostnaden	cost	0	-1	0	0	0	0	1	-1	0
lagstiftningsorganen	weight	0	-1	0	1	0	1	-1	0	0
överansträngning	stress	0	0	1	1	0	1	1	0	0
funktionsregler	rule	1	1	1	1	1	1	1	0	1
framsynta	pioneer	1	1	0	1	0	1	1	0	1
anlagda	start	1	1	1	1	1	1	1	0	1
mottagligheten	show	1	1	1	0	1	0	1	0	0
opportuna	draw	0	0	1	1	1	1	0	0	0
beslutsreglerna	rule	1	1	1	1	1	1	1	0	1
närvarolistorna	list	0	0	0	1	0	0	1	0	1
okunskap	lack	0	0	0	0	-1	1	1	0	-1
hithörande	relate	0	1	1	1	0	1	1	0	1
upptagit	take	1	1	1	0	1	1	1	0	1
långsökt	excuse	0	0	0	0	0	0	1	0	1
fullbordad	complete	1	1	1	1	1	1	1	0	1
fotovoltaiska	remain	0	0	0	0	0	0	1	0	0
Andruchovytjs	be	0	1	0	0	0	0	1	0	1
moduleringsinstrumentet	do	1	1	1	0	0	1	1	0	1
regelmassa	put	1	1	1	0	1	1	1	0	1
domarens	judge	0	0	-1	-1	1	1	1	-1	0
rättstillämpningen	apply	0	1	1	1	1	1	1	0	1
planeringsprojekt	project	0	0	1	1	1	1	1	0	1
fira	celebrate	1	1	1	1	1	1	1	0	1
slutfört	complete	1	1	1	1	1	1	1	0	1
Nabucco	return	0	0	0	0	0	1	1	0	0
telekommunikationstjänsterna	lend	1	1	1	1	1	1	1	0	1
krånglet	tape	0	0	0	0	0	1	1	0	0
ungdomsutbyte	exchange	0	0	1	0	1	0	1	0	0
obotliga	state	0	1	1	1	0	1	1	0	0
förskaffar	derive	1	1	1	0	1	1	1	0	1
åsyfta	provide	1	1	1	1	1	1	1	0	1
grät	cry	0	1	0	0	-1	0	1	0	-1
Dunnbetänkandet	report	0	0	-1	1	0	0	1	0	-1
separeras	be	0	1	0	0	0	0	1	0	1
lastbil	truck	0	0	0	0	1	0	1	0	0
blanco	blanket	0	-1	1	1	0	1	1	0	0
turistpotential	zone	0	0	0	0	0	0	1	0	0
vänliga	please	0	0	0	1	0	1	1	1	0
protokollsidan	report	0	0	-1	1	0	0	1	0	-1
förtäckt	disguise	0	0	-1	0	0	0	1	0	1
Essenprojekten	project	0	0	1	1	1	1	1	0	1
oföränderligt	process	0	0	1	1	1	1	1	0	0
oppositionsmedlemmarna	be	0	1	0	0	0	0	1	0	1
gnugga	rub	0	-1	0	-1	0	1	1	-1	0
taktik	approach	0	1	1	0	1	1	1	0	1
fason	sort	0	0	0	1	0	1	1	0	0
avser	intend	0	0	0	1	0	1	1	0	1
chefsrådgivare	position	0	0	0	1	0	1	1	0	0
likviditetsproblem	flow	0	0	0	0	0	0	1	0	0
utsläppsmålen	target	0	0	0	1	0	0	0	0	0
övervakningsdelegation	monitor	0	1	1	1	1	0	1	0	0
vänligt	count	0	0	1	1	1	1	1	0	1
voteringslista	vote	0	0	0	1	1	1	1	0	0
uppförandekod	code	1	1	0	1	0	1	1	0	0
nyttiga	enable	1	1	0	1	1	1	1	1	0
servicen	provide	1	1	1	1	1	1	1	0	1
tillfalla	be	0	1	0	0	0	0	1	0	1
redas	be	0	1	0	0	0	0	1	0	1
uppvärmningsproblem	heat	0	0	0	1	0	0	-1	0	1
omsättningen	return	0	0	0	0	0	1	1	0	0
massflykten	write	1	1	1	1	1	1	1	0	1
seriösare	discipline	1	1	1	1	0	1	1	0	1
självrannsakan	do	1	1	1	0	0	1	1	0	1
sjukdomsutbrott	notice	1	1	1	0	1	1	1	0	0
esse	top	0	0	1	0	1	1	1	0	1
nyttigt	benefit	1	1	0	1	1	1	1	1	1
egga	stir	1	1	1	1	0	1	1	0	1
icke-sociala	function	0	1	0	1	1	1	1	0	0
programmera	plan	1	1	1	1	1	1	1	0	1
namnfrågor	see	1	1	1	1	1	1	1	0	1
militäraktion	strike	1	1	0	0	0	1	1	0	0
kommunikationsområdet	field	0	0	1	1	1	1	1	0	0
understiger	be	0	1	0	0	0	0	1	0	1
förlitat	rely	0	0	1	0	1	0	1	0	1
avfallsförbränningsanläggning	waste	0	-1	0	-1	-1	1	1	0	-1
antirobotsköld	shield	1	1	1	1	0	1	1	1	1
bränslepaketet	fuel	0	0	0	1	1	1	1	0	1
slutföra	complete	1	1	1	1	1	1	1	0	1
rättssäkerhetsgarantierna	safeguard	1	1	0	1	0	1	1	1	1
organisationsform	form	1	1	1	1	1	1	1	0	1
meningarna	sentence	-1	1	-1	-1	0	1	1	-1	0
insynsnormerna	provide	1	1	1	1	1	1	1	0	1
ansvarigheten	power	1	0	0	0	0	0	1	0	1
fotbollsarenorna	match	1	1	1	1	0	1	1	0	1
Oxfam	have	1	1	1	0	0	1	1	0	1
slutförd	complete	1	1	1	1	1	1	1	0	1
artskydd	preserve	1	1	1	1	0	1	1	0	1
oresonlighet	refuse	0	0	-1	-1	0	1	1	-1	0
elementet	group	0	0	0	1	1	0	1	0	1
betona	stress	0	0	1	1	0	1	1	0	0
jämkas	be	0	1	0	0	0	0	1	0	1
jämkar	reconcile	1	1	0	1	1	1	1	1	0
underlättat	facilitate	1	1	0	1	0	1	1	0	0
vattenkonsumenterna	price	0	0	1	1	1	0	1	0	1
underlättar	facilitate	1	1	0	1	0	1	1	0	0
underlättas	facilitate	1	1	0	1	0	1	1	0	0
lånekostnader	cost	0	-1	0	0	0	0	1	-1	0
jämkat	reconcile	1	1	0	1	1	1	1	1	0
medvetenhetskampanjer	campaign	0	0	1	1	1	1	1	-1	1
smitit	shy	0	0	-1	-1	-1	1	0	-1	-1
Eismabetänkandet	report	0	0	-1	1	0	0	1	0	-1
Benešdekreten	decree	0	0	1	0	0	1	1	0	1
underkuvats	be	0	1	0	0	0	0	1	0	1
vattensystemen	water	0	-1	0	-1	0	1	1	0	1
sekelskifte	assess	0	1	0	1	0	1	1	0	1
skatteskulder	tax	0	0	1	1	1	0	1	0	1
underlättad	facilitate	1	1	0	1	0	1	1	0	0
överproduktionskris	escalate	0	-1	0	-1	0	0	1	0	0
vattensystemet	water	0	-1	0	-1	0	1	1	0	1
rättskipningen	exercise	1	1	1	1	1	1	1	0	1
utveckla	develop	0	1	0	1	0	0	1	0	0
rebell	rebel	0	0	0	-1	0	1	1	-1	1
krigsområde	zone	0	0	0	0	0	0	1	0	0
miste	lose	0	0	0	-1	-1	1	1	0	-1
destabilisera	head	1	0	1	1	1	1	1	0	1
ersättningspaketet	date	0	0	1	0	1	0	1	0	1
otillåten	do	1	1	1	0	0	1	1	0	1
konto	account	0	0	0	0	0	1	1	0	0
förskonad	spare	0	1	0	1	0	1	1	0	1
löpandebandproduktion	cut	0	0	0	-1	0	0	1	0	0
plötsligt	be	0	1	0	0	0	0	1	0	1
krock	clash	0	0	0	-1	0	1	1	0	0
slutprodukten	end	0	1	0	0	1	0	1	0	0
yppas	be	0	1	0	0	0	0	1	0	1
yppar	grasp	0	0	0	0	0	1	1	0	1
Jacksons	support	1	1	1	1	0	1	1	1	1
åkrarna	field	0	0	1	1	1	1	1	0	0
förskonat	exempt	0	0	-1	-1	0	0	1	0	0
arbetssätt	work	1	1	1	1	0	1	1	0	1
reseunderlag	travel	1	1	1	0	1	0	1	0	1
avancerade	advance	0	1	1	1	1	0	1	0	1
Souliers	be	0	1	0	0	0	0	1	0	1
otillåtet	forbid	0	-1	-1	-1	1	1	1	0	0
avseende	regard	1	1	1	1	1	1	1	1	1
ledighet	leave	0	0	0	0	0	0	1	-1	0
utvikning	be	0	1	0	0	0	0	1	0	1
förvrida	distort	0	0	0	-1	0	1	0	0	0
beslutar	decide	1	1	1	1	0	1	1	0	1
beslutas	be	0	1	0	0	0	0	1	0	1
2020-strategin	write	1	1	1	1	1	1	1	0	1
uppfyllbar	respect	1	1	1	1	0	1	1	1	1
dumheten	piece	0	0	0	0	1	0	1	0	1
beslutat	decide	1	1	1	1	0	1	1	0	1
omplaceringar	make	0	0	0	1	0	0	1	0	0
direktlinje	provide	1	1	1	1	1	1	1	0	1
rest	travel	1	1	1	0	1	0	1	0	1
trevande	be	0	1	0	0	0	0	1	0	1
abortfrågor	issue	0	0	0	1	0	1	1	0	0
ritningarna	plan	1	1	1	1	1	1	1	0	1
beslutad	decide	1	1	1	1	0	1	1	0	1
Nepals	commit	-1	-1	0	0	-1	0	1	0	-1
invigdes	inaugurate	1	1	1	1	1	1	1	0	1
samarbetsvillig	cooperate	0	1	0	1	1	1	1	0	1
Kaliningradproblemet	intend	0	0	0	1	0	1	1	0	1
luftfartsmarknader	market	0	0	0	1	1	1	1	0	1
uttrycken	term	1	1	0	1	1	1	0	0	0
utdelning	return	0	0	0	0	0	1	1	0	0
demokraterna	retrieve	0	0	0	1	1	1	1	0	0
oförglömlige	matter	0	0	0	-1	0	1	1	0	0
användningar	hinder	0	-1	0	-1	0	1	0	-1	0
guineanerna	be	0	1	0	0	0	0	1	0	1
drivmedelsskatt	fuel	0	0	0	1	1	1	1	0	1
uttrycket	term	1	1	0	1	1	1	0	0	0
komplexen	forge	1	1	1	1	1	1	1	0	1
mördas	murder	0	-1	-1	-1	-1	1	0	-1	-1
smutsig	pollute	0	-1	0	-1	0	1	-1	0	0
oförglömligt	have	1	1	1	0	0	1	1	0	1
spiken	nail	0	0	-1	-1	0	1	0	0	0
infångade	trap	0	0	0	-1	0	0	0	-1	0
sammanväxande	grow	1	1	1	1	1	1	1	0	1
Schengen-anslutningen	understand	1	1	1	1	1	1	1	0	1
obesvarade	remain	0	0	0	0	0	0	1	0	0
tillhöra	belong	1	0	1	1	1	1	1	0	0
prioriteringar	set	0	0	1	1	1	1	1	0	1
samordningsinsatser	refer	1	1	1	1	0	1	1	1	1
Prodikommissionen	reform	1	1	0	1	0	1	1	0	1
säkerhetsutbildning	train	1	1	1	1	1	1	1	1	1
Spinellis	draft	1	1	1	1	1	1	1	0	1
pensionsgrundande	count	0	0	1	1	1	1	1	0	1
upparbetningsanläggningarna	plant	1	1	1	1	1	1	1	0	1
flygtransportens	air	0	0	0	-1	0	1	0	0	0
delen	matter	0	0	0	-1	0	1	1	0	0
anmärkningsvärda	have	1	1	1	0	0	1	1	0	1
världshandelsöverenskommelsen	trade	0	1	1	1	1	1	1	0	1
yttrar	speak	1	1	1	1	1	1	1	0	1
yttras	be	0	1	0	0	0	0	1	0	1
yttrat	speak	1	1	1	1	1	1	1	0	1
tillhört	be	0	1	0	0	0	0	1	0	1
komplimentera	congratulate	1	1	1	1	1	1	1	1	1
företagsstyrning	enhance	1	1	1	1	0	1	1	0	1
körtillstånd	drive	1	1	0	1	0	1	1	0	1
talarförbud	ban	0	-1	-1	-1	0	1	1	0	0
policyer	worsen	-1	-1	0	-1	0	1	-1	0	0
uppsatt	set	0	0	1	1	1	1	1	0	1
livsmedelskommittén	intend	0	0	0	1	0	1	1	0	1
Danmarks	have	1	1	1	0	0	1	1	0	1
budgetfrågan	issue	0	0	0	1	0	1	1	0	0
gräsrotsmakt	power	1	0	0	0	0	0	1	0	1
sårbarhet	be	0	1	0	0	0	0	1	0	1
växlingsavgifter	charge	-1	0	0	-1	1	1	1	-1	1
rekryter	recruit	1	1	1	1	1	1	1	0	1
återupparbetning	express	-1	0	0	0	1	0	1	0	0
Richards	involve	0	0	0	0	1	1	1	0	0
utbytesprojekt	project	0	0	1	1	1	1	1	0	1
personalpolitik	staff	1	1	1	1	1	1	1	0	1
pennor	corner	0	0	-1	-1	1	1	1	0	0
Pastranas	include	1	1	1	1	1	1	1	1	0
yttrande-	free	1	1	1	1	1	1	1	1	1
premiss	motivate	1	1	0	1	1	1	1	1	0
beredskapsfartyg	ship	1	0	1	1	0	1	1	0	1
handelskommissionären	run	0	1	1	1	1	1	1	0	1
rättssäkerhetsprincipen	rule	1	1	1	1	1	1	1	0	1
läkas	heal	1	1	0	1	0	1	1	1	0
lyckokast	picture	0	0	0	0	0	1	1	0	0
opt-out	opt	1	1	1	0	1	1	1	0	1
portugisisk-kinesiska	do	1	1	1	0	0	1	1	0	1
oskiljbar	be	0	1	0	0	0	0	1	0	1
förklarades	declare	0	0	1	0	0	1	1	0	1
späda	dilute	0	-1	0	-1	0	1	-1	0	0
rikedomarna	be	0	1	0	0	0	0	1	0	1
betros	be	0	1	0	0	0	0	1	0	1
vattensportfordonen	water	0	-1	0	-1	0	1	1	0	1
personbilsmarknaden	market	0	0	0	1	1	1	1	0	1
undantagsbehandling	be	0	1	0	0	0	0	1	0	1
undersysselsättning	need	0	1	1	0	0	1	1	0	0
sanktionsklausuler	provide	1	1	1	1	1	1	1	0	1
späds	dilute	0	-1	0	-1	0	1	-1	0	0
fiskpriserna	price	0	0	1	1	1	0	1	0	1
manken	mind	0	0	1	1	1	1	1	0	1
fredstid	time	0	0	1	0	1	0	1	0	1
antagande	adopt	1	1	1	1	1	1	1	0	1
korten	issue	0	0	0	1	0	1	1	0	0
tobaksproducenter	exceed	0	0	0	0	0	0	1	0	0
byråkratins	tape	0	0	0	0	0	1	1	0	0
yttrandet	deliver	1	1	1	1	0	1	1	0	1
molnen	cloud	0	0	0	1	0	1	1	0	0
tempot	speed	1	1	0	1	0	1	1	0	0
vakthundar	dog	0	-1	1	1	0	1	1	-1	1
stormig	trouble	0	-1	0	-1	0	1	0	-1	0
skräp	be	0	1	0	0	0	0	1	0	1
uppföljningskommittén	monitor	0	1	1	1	1	0	1	0	0
trollkarlens	mind	0	0	1	1	1	1	1	0	1
