pt Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
inquestionavelmente	doubt	0	0	-1	-1	0	1	1	0	-1
esperasse	expect	0	1	1	1	0	0	1	0	1
reenvie	back	1	1	1	1	1	1	1	1	1
reconduz	down	0	0	0	0	0	0	1	0	0
reenvio	back	1	1	1	1	1	1	1	1	1
conciliáveis	reconcile	1	1	0	1	1	1	1	1	0
argumentaria	argue	0	0	1	1	0	1	1	0	0
armistício	arm	0	0	0	-1	0	1	0	-1	0
honro	be	0	1	0	0	0	0	1	0	1
honre	deliver	1	1	1	1	0	1	1	0	1
Mahathir	flaw	0	0	0	0	0	1	1	0	0
Humboldt	come	0	1	0	0	0	0	1	0	0
enfrentá	face	0	0	0	0	1	1	1	0	1
educadores	obtain	1	1	1	0	1	1	1	0	1
rematada	complete	1	1	1	1	1	1	1	0	1
aderirmos	join	1	1	1	1	1	1	1	1	1
afecta-nos	affect	1	0	0	0	0	1	1	0	0
sucursal	plant	1	1	1	1	1	1	1	0	1
taxativo	preserve	1	1	1	1	0	1	1	0	1
desmantelada	dismantle	0	0	0	-1	1	1	1	0	1
aflorado	touch	1	0	1	0	0	1	1	0	1
manifestei	express	-1	0	0	0	1	0	1	0	0
pregação	preach	1	1	1	1	1	1	1	0	1
opor-me	oppose	0	0	-1	-1	0	1	1	0	-1
aguardamos	be	0	1	0	0	0	0	1	0	1
Olivier	carry	0	1	1	0	0	1	1	0	0
Etiópia	prefer	0	0	1	1	1	1	1	0	1
Sida	apply	0	1	1	1	1	1	1	0	1
àquelas	urge	1	1	1	1	0	1	1	1	1
esbarrou	have	1	1	1	0	0	1	1	0	1
aflorada	touch	1	0	1	0	0	1	1	0	1
explicitando	spell	0	0	0	1	1	-1	1	0	1
sub	sort	0	0	0	1	0	1	1	0	0
refreando	inhibit	0	0	0	-1	0	1	0	-1	0
planearmos	plan	1	1	1	1	1	1	1	0	1
valorizados	value	1	1	1	1	0	1	1	1	1
SITCEN	field	0	0	1	1	1	1	1	0	0
televisivo	televise	1	1	1	1	1	1	1	0	1
desejava	want	1	0	1	0	0	1	1	0	1
despertam	arouse	1	1	0	1	0	1	1	0	0
televisiva	broadcast	0	0	0	1	1	1	1	0	1
correligionários	represent	0	1	0	1	0	1	1	0	0
controvérsia	dispute	0	0	-1	-1	-1	1	1	0	-1
holística	reinforce	1	0	0	1	0	1	1	-1	0
modalidade	form	1	1	1	1	1	1	1	0	1
comandadas	control	1	0	1	0	1	1	1	0	1
designações	name	0	1	1	1	1	1	1	0	1
protestando	protest	1	0	1	1	0	1	1	0	1
encantado	delight	1	-1	1	0	0	1	1	-1	1
insistamos	insist	0	0	1	0	0	1	1	0	1
brief	play	1	1	1	1	1	1	1	0	1
xenófobo	regard	1	1	1	1	1	1	1	1	1
Lambsdorff	write	1	1	1	1	1	1	1	0	1
madeira	log	0	0	0	0	0	1	1	0	1
gatilho	trigger	0	0	0	1	0	0	0	0	0
devotadas	be	0	1	0	0	0	0	1	0	1
ligámos	link	1	1	1	1	1	1	1	0	0
assaltadas	break	0	0	-1	-1	1	1	1	0	1
baseando-nos	base	0	1	1	1	1	1	1	0	1
desatar	be	0	1	0	0	0	0	1	0	1
transportarmos	transport	0	1	0	1	1	1	1	0	0
desmoronar-se-á	collapse	0	0	0	-1	0	1	1	0	0
confrontar-nos-á	down	0	0	0	0	0	0	1	0	0
Janeiro	play	1	1	1	1	1	1	1	0	1
ameaçariam	threaten	0	-1	-1	-1	0	1	1	-1	-1
indução	mislead	0	-1	0	-1	0	1	0	-1	0
Mitrovica	last	0	0	0	0	0	-1	-1	0	0
protegeria	protect	1	1	1	1	0	1	1	1	1
Republicano	be	0	1	0	0	0	0	1	0	1
cariz	be	0	1	0	0	0	0	1	0	1
decuplicou	increase	1	1	0	1	0	1	1	0	1
Amnisty	name	0	1	1	1	1	1	1	0	1
ludibriada	abuse	1	-1	-1	-1	0	1	1	-1	-1
do	regard	1	1	1	1	1	1	1	1	1
Harms	do	1	1	1	0	0	1	1	0	1
taças	bowl	0	0	0	-1	0	1	1	0	1
Pode	can	0	0	0	0	0	1	1	0	1
espalhamos	be	0	1	0	0	0	0	1	0	1
apoiamo-nos	rely	0	0	1	0	1	0	1	0	1
da	regard	1	1	1	1	1	1	1	1	1
acordasse	wake	1	0	0	0	0	1	1	-1	0
ignorados	ignore	0	-1	-1	-1	0	1	0	-1	0
enviadas	send	1	1	1	0	1	1	1	0	1
Disciplinar	sit	0	0	0	0	0	0	0	0	0
onerado	burden	0	-1	-1	-1	-1	0	1	0	-1
infortúnios	give	0	1	1	0	0	0	1	0	1
concha	shell	0	-1	-1	-1	1	1	-1	-1	1
intrínsecos	take	1	1	1	0	1	1	1	0	1
recomendaram-me	urge	1	1	1	1	0	1	1	1	1
ludibriado	cheat	0	-1	0	-1	0	1	1	-1	1
unilaterais	take	1	1	1	0	1	1	1	0	1
habituem	can	0	0	0	0	0	1	1	0	1
multifacetados	amass	1	1	1	0	1	1	1	0	1
falarão	talk	0	0	0	0	0	1	1	0	0
aplicando-o	apply	0	1	1	1	1	1	1	0	1
zelou	have	1	1	1	0	0	1	1	0	1
esperais	be	0	1	0	0	0	0	1	0	1
concluem	conclude	1	1	1	1	0	1	1	0	1
palavra-passe	term	1	1	0	1	1	1	0	0	0
sugeriria	suggest	1	1	1	1	0	1	1	0	1
cooperação	cooperate	0	1	0	1	1	1	1	0	1
Vatanen	involve	0	0	0	0	1	1	1	0	0
aplicando-a	apply	0	1	1	1	1	1	1	0	1
Carraro	regard	1	1	1	1	1	1	1	1	1
dependa	depend	0	0	0	0	1	0	1	0	0
localizados	locate	0	1	0	1	1	1	1	0	0
depende	depend	0	0	0	0	1	0	1	0	0
eleitorados	own	0	1	1	1	1	1	1	0	1
inserem	fall	0	0	0	-1	-1	0	1	0	-1
privatizaram	have	1	1	1	0	0	1	1	0	1
dividia	divide	0	-1	0	-1	0	1	0	-1	0
bálticos	light	0	1	1	1	0	1	1	0	1
culpadas	commit	-1	-1	0	0	-1	0	1	0	-1
colhemos	have	1	1	1	0	0	1	1	0	1
regressamos	back	1	1	1	1	1	1	1	1	1
fretadores	charter	1	1	1	1	1	1	1	1	1
frequência	frequent	1	1	1	0	1	1	1	1	0
argelinas	implicate	0	0	0	-1	0	1	1	-1	0
dividir	divide	0	-1	0	-1	0	1	0	-1	0
dividiu	divide	0	-1	0	-1	0	1	0	-1	0
desrespeitosa	respect	1	1	1	1	0	1	1	1	1
saneadas	restructure	1	1	0	1	1	1	1	0	1
exigíveis	require	0	1	1	0	1	1	1	0	0
pegaram	take	1	1	1	0	1	1	1	0	1
radiações	distance	0	0	0	0	0	1	1	0	0
guerreiam	tear	0	0	-1	-1	0	1	1	0	0
evoco	be	0	1	0	0	0	0	1	0	1
temerem	fear	-1	0	-1	0	-1	0	1	0	-1
Monopólio	throw	0	0	0	0	0	1	1	0	1
emende	strengthen	1	1	0	1	0	1	1	1	0
amarrados	tie	0	0	0	0	1	1	1	0	0
emenda	cure	0	1	0	1	0	1	1	0	1
pavor	fear	-1	0	-1	0	-1	0	1	0	-1
confirmará	confirm	1	1	1	1	1	1	1	0	1
conquistadas	win	1	1	1	1	1	1	1	0	1
multifuncionalidade	approach	0	1	1	0	1	1	1	0	1
aquecedor	heat	0	0	0	1	0	0	-1	0	1
dê	give	0	1	1	0	0	0	1	0	1
Borst	do	1	1	1	0	0	1	1	0	1
legislações	rule	1	1	1	1	1	1	1	0	1
juntavam	bring	0	0	1	1	0	0	1	0	0
dá	give	0	1	1	0	0	0	1	0	1
ambivalente	mix	0	0	0	1	1	0	1	0	1
guiará	guide	0	0	1	1	1	1	1	1	1
incisivos	adopt	1	1	1	1	1	1	1	0	1
concluírem	conclude	1	1	1	1	0	1	1	0	1
lanço-vos	import	0	0	0	1	1	1	1	0	1
packages	package	0	0	0	1	1	0	1	0	1
desempenhasse	play	1	1	1	1	1	1	1	0	1
lidado	deal	0	0	0	0	0	0	0	0	0
contraia	face	0	0	0	0	1	1	1	0	1
electivos	elect	1	1	1	1	1	1	1	1	1
proibicionismo	produce	1	1	1	1	0	1	1	0	1
cor	code	1	1	0	1	0	1	1	0	0
Liga	emerge	1	1	0	0	0	1	1	0	1
dispendiosos	cost	0	-1	0	0	0	0	1	-1	0
pretender-se	be	0	1	0	0	0	0	1	0	1
comportou	behave	0	1	0	0	0	1	1	0	1
queixa	complain	0	0	0	0	0	1	1	0	1
fixando-as	down	0	0	0	0	0	0	1	0	0
servem-se	make	0	0	0	1	0	0	1	0	0
imunes	make	0	0	0	1	0	0	1	0	0
com	have	1	1	1	0	0	1	1	0	1
poupadas	spare	0	1	0	1	0	1	1	0	1
atolada	mire	0	-1	-1	-1	0	1	1	-1	1
afixaram	canvass	0	0	0	1	0	1	1	0	1
eliminação	eliminate	-1	1	-1	-1	1	-1	1	0	0
atolado	down	0	0	0	0	0	0	1	0	0
licíto	do	1	1	1	0	0	1	1	0	1
nesses	develop	0	1	0	1	0	0	1	0	0
invocasse	do	1	1	1	0	0	1	1	0	1
reestruturar-se	restructure	1	1	0	1	1	1	1	0	1
organizativo	show	1	1	1	0	1	0	1	0	0
oporem-se	oppose	0	0	-1	-1	0	1	1	0	-1
jogados	play	1	1	1	1	1	1	1	0	1
jogador	oust	-1	0	-1	-1	1	1	0	-1	1
ajusta-se	be	0	1	0	0	0	0	1	0	1
guie	guide	0	0	1	1	1	1	1	1	1
solicitá-las	request	0	0	1	0	1	1	1	0	1
guia	guide	0	0	1	1	1	1	1	1	1
convocarmos	convene	0	0	1	1	1	1	1	0	1
martirizados	torment	-1	-1	-1	-1	0	1	0	-1	1
perspectiva-se	have	1	1	1	0	0	1	1	0	1
castelhano	be	0	1	0	0	0	0	1	0	1
vacilem	go	0	0	0	0	0	0	1	0	0
silenciada	silence	0	-1	-1	-1	0	1	0	-1	0
distorcendo	distort	0	0	0	-1	0	1	0	0	0
retemos	retain	1	1	1	1	1	1	1	0	1
retraem	be	0	1	0	0	0	0	1	0	1
lacónica	provide	1	1	1	1	1	1	1	0	1
preservassem	preserve	1	1	1	1	0	1	1	0	1
Bradbourn	go	0	0	0	0	0	0	1	0	0
pondera	be	0	1	0	0	0	0	1	0	1
desgostoso	dismay	1	-1	0	1	0	1	1	-1	1
silenciado	silence	0	-1	-1	-1	0	1	0	-1	0
assegurar	secure	0	0	1	1	1	1	1	0	1
envidasse	make	0	0	0	1	0	0	1	0	0
entusiásticas	comment	0	0	0	0	0	1	1	0	1
verificarmos	see	1	1	1	1	1	1	1	0	1
Vice	shed	0	1	0	0	0	1	1	0	0
atribuíram	have	1	1	1	0	0	1	1	0	1
devoluções	discard	0	0	-1	-1	-1	1	1	0	-1
Montreux	try	0	1	1	0	1	1	1	0	0
News	down	0	0	0	0	0	0	1	0	0
asseguram	provide	1	1	1	1	1	1	1	0	1
197º	put	1	1	1	0	1	1	1	0	1
pensarem	think	0	0	1	1	1	1	1	1	0
mudando	change	0	1	0	1	0	1	1	0	1
arvorado	fly	0	1	1	0	0	0	1	0	1
necessitássemos	need	0	1	1	0	0	1	1	0	0
dependeremos	depend	0	0	0	0	1	0	1	0	0
deixá	leave	0	0	0	0	0	0	1	-1	0
famigerada	resurrect	1	1	1	1	1	1	1	1	1
orientada	target	0	0	0	1	0	0	0	0	0
aplicará	apply	0	1	1	1	1	1	1	0	1
utilizadores	end	0	1	0	0	1	0	1	0	0
orientado	gear	0	0	0	1	1	1	0	0	0
registe-se	be	0	1	0	0	0	0	1	0	1
modificados	modify	0	0	0	0	0	1	1	0	0
velhos	exist	1	1	1	0	1	0	1	0	1
onerosas	be	0	1	0	0	0	0	1	0	1
ingressaram	be	0	1	0	0	0	0	1	0	1
aconselha-nos	advise	1	1	1	1	0	1	1	1	1
proclamou	proclaim	1	1	1	1	1	1	1	0	1
ordem	be	0	1	0	0	0	0	1	0	1
comparativo	identify	0	0	-1	0	0	1	1	0	0
lançarem-se	set	0	0	1	1	1	1	1	0	1
lance	launch	1	1	1	1	1	1	1	0	1
prendeu-se	concern	1	-1	0	-1	0	1	1	-1	0
dirigiu-se	have	1	1	1	0	0	1	1	0	1
Electricité	like	1	1	1	1	0	1	1	1	1
comparativa	compare	0	0	0	0	0	1	1	0	0
infringe	infringe	0	-1	0	-1	0	1	1	0	0
preciosos	shed	0	1	0	0	0	1	1	0	0
adoraria	love	1	1	1	1	1	1	1	1	1
sub-rubrica	head	1	0	1	1	1	1	1	0	1
acusam-me	accuse	0	0	-1	-1	0	1	1	-1	-1
trabalhando	work	1	1	1	1	0	1	1	0	1
confirmem	confirm	1	1	1	1	1	1	1	0	1
obtém	obtain	1	1	1	0	1	1	1	0	1
confirmei	confirm	1	1	1	1	1	1	1	0	1
Estrutural	point	0	0	0	0	1	0	1	0	0
14bis	go	0	0	0	0	0	0	1	0	0
dispensar-se	be	0	1	0	0	0	0	1	0	1
foros	group	0	0	0	1	1	0	1	0	1
atestariam	be	0	1	0	0	0	0	1	0	1
aduzindo	add	1	1	1	1	1	0	1	0	1
traídos	betray	1	-1	-1	-1	0	1	1	-1	0
premiando	reward	1	1	1	1	0	1	1	1	1
raia	border	0	0	0	0	0	0	0	0	0
solicitou-se	be	0	1	0	0	0	0	1	0	1
catorze	perfect	1	1	1	1	1	1	1	0	1
raid	raid	0	0	-1	-1	1	1	1	-1	1
desejosas	want	1	0	1	0	0	1	1	0	1
reabilitarmos	need	0	1	1	0	0	1	1	0	0
comessem	eat	0	1	1	-1	1	1	1	0	1
raio	range	0	0	0	0	0	0	0	0	0
elucidativo	illuminate	1	1	0	1	0	1	1	0	0
Y	age	0	0	0	-1	0	1	1	0	0
raiz	root	1	0	1	1	1	1	1	0	0
armazenando	stockpile	0	0	0	-1	1	1	-1	0	1
depois	follow	0	0	1	1	1	1	1	0	1
tecnicismo	fail	0	0	-1	-1	-1	0	1	-1	-1
subtraída	be	0	1	0	0	0	0	1	0	1
regozija-me	be	0	1	0	0	0	0	1	0	1
1979	back	1	1	1	1	1	1	1	1	1
campo	field	0	0	1	1	1	1	1	0	0
Paraguai	regard	1	1	1	1	1	1	1	1	1
malditas	be	0	1	0	0	0	0	1	0	1
causando	cause	-1	-1	0	0	0	-1	0	0	0
1974	back	1	1	1	1	1	1	1	1	1
1973	draw	0	0	1	1	1	1	0	0	0
1972	back	1	1	1	1	1	1	1	1	1
resettlement	forward	1	1	0	1	1	1	1	0	1
surtos	occur	1	1	0	1	0	1	0	1	0
permite-se	be	0	1	0	0	0	0	1	0	1
intimidadas	intimidate	0	-1	0	-1	0	1	0	-1	0
existências	stock	0	0	1	1	1	1	1	0	1
excluindo	exclude	0	0	-1	-1	0	1	1	0	0
Ex.a	do	1	1	1	0	0	1	1	0	1
pensa-se	be	0	1	0	0	0	0	1	0	1
encadear	link	1	1	1	1	1	1	1	0	0
redundasse	prevent	0	0	0	-1	0	1	1	-1	0
acusando-me	accuse	0	0	-1	-1	0	1	1	-1	-1
escuteiros	scout	1	1	0	1	1	1	1	0	1
batatas	thrive	0	1	1	1	1	1	1	0	1
solitária	own	0	1	1	1	1	1	1	0	1
procurava-se	attempt	0	0	1	0	1	0	1	0	0
impuseram-se	have	1	1	1	0	0	1	1	0	1
decisivo	decide	1	1	1	1	0	1	1	0	1
gradação	follow	0	0	1	1	1	1	1	0	1
descreveram	describe	0	0	0	1	0	0	1	0	1
instava	call	0	0	1	1	0	1	1	0	1
limita-se	be	0	1	0	0	0	0	1	0	1
publicassem	publish	1	1	1	1	1	1	1	0	1
efectuaremos	see	1	1	1	1	1	1	1	0	1
spread	spread	-1	-1	0	1	0	-1	1	0	0
passiva	remain	0	0	0	0	0	0	1	0	0
prestações	benefit	1	1	0	1	1	1	1	1	1
eliminações	pull	0	0	0	0	0	0	1	0	0
passivo	charge	-1	0	0	-1	1	1	1	-1	1
plasma	set	0	0	1	1	1	1	1	0	1
transformem	become	0	0	0	0	0	0	1	0	0
gratas	be	0	1	0	0	0	0	1	0	1
ratificaram-no	have	1	1	1	0	0	1	1	0	1
propícios	can	0	0	0	0	0	1	1	0	1
antidemocráticas	be	0	1	0	0	0	0	1	0	1
insofismável	give	0	1	1	0	0	0	1	0	1
evitassem	avoid	-1	1	-1	0	1	-1	1	0	1
Sempre	time	0	0	1	0	1	0	1	0	1
espoliar	relieve	0	1	0	1	1	0	1	1	1
acatou	adopt	1	1	1	1	1	1	1	0	1
imames	down	0	0	0	0	0	0	1	0	0
ponderavam	be	0	1	0	0	0	0	1	0	1
específica	target	0	0	0	1	0	0	0	0	0
comício	rally	1	0	0	1	1	1	1	0	1
antecedido	precede	0	0	0	1	0	1	1	0	0
específico	separate	0	0	0	-1	0	1	1	-1	0
pondo-os	lessen	0	0	0	-1	0	0	1	0	0
capa	cover	0	0	0	1	1	1	1	0	0
confundisse	see	1	1	1	1	1	1	1	0	1
insusceptíveis	sort	0	0	0	1	0	1	1	0	0
precipitadamente	rush	0	0	-1	-1	1	1	1	-1	0
supranacionais	level	0	1	1	1	1	0	1	0	1
revogações	repeal	1	1	0	-1	1	1	1	0	1
derivantes	patrol	0	0	0	0	0	1	1	0	1
perturbou	have	1	1	1	0	0	1	1	0	1
déssemos	give	0	1	1	0	0	0	1	0	1
desemprego	work	1	1	1	1	0	1	1	0	1
afogam-se	drown	0	-1	-1	-1	0	1	0	-1	0
subavaliados	underestimate	0	-1	0	-1	-1	1	1	-1	-1
repeti-las	repeat	0	1	0	1	0	1	1	0	0
documentais	document	0	0	0	0	0	1	1	0	0
debaterão	discuss	1	1	0	1	1	1	1	0	1
sensibilizá-lo	target	0	0	0	1	0	0	0	0	0
virtudes	benefit	1	1	0	1	1	1	1	1	1
portuguesa	term	1	1	0	1	1	1	0	0	0
marchemos	march	0	0	0	0	0	0	1	0	0
bloquearmos	block	0	0	-1	-1	0	1	1	0	-1
constituiriam	be	0	1	0	0	0	0	1	0	1
recorda-nos	remind	1	1	1	1	0	1	1	0	0
contra-argumentar	do	1	1	1	0	0	1	1	0	1
incorpóreos	provide	1	1	1	1	1	1	1	0	1
empenhasse	engage	0	0	0	1	1	1	1	0	1
sendo	be	0	1	0	0	0	0	1	0	1
estáveis	secure	0	0	1	1	1	1	1	0	1
compartilhá-lo	delight	1	-1	1	0	0	1	1	-1	1
repatriado	return	0	0	0	0	0	1	1	0	0
critique	criticize	-1	0	-1	-1	0	0	1	-1	-1
repatriada	repatriate	0	0	-1	-1	0	1	1	-1	1
senda	line	0	0	0	0	1	0	1	0	1
vinculadas	link	1	1	1	1	1	1	1	0	0
praticámos	have	1	1	1	0	0	1	1	0	1
atribuímos-lhe	have	1	1	1	0	0	1	1	0	1
desadequada	be	0	1	0	0	0	0	1	0	1
baseavam	base	0	1	1	1	1	1	1	0	1
Lei	act	0	0	0	0	0	0	1	0	0
Externas	control	1	0	1	0	1	1	1	0	1
enunciarmos	start	1	1	1	1	1	1	1	0	1
abundantes	supply	0	0	1	1	1	1	1	0	1
aguardaram	wait	0	0	0	0	0	0	1	0	0
Let	let	0	0	0	1	-1	0	1	0	0
discuti-la	discuss	1	1	0	1	1	1	1	0	1
discuti-lo	discuss	1	1	0	1	1	1	1	0	1
passam-nos	be	0	1	0	0	0	0	1	0	1
agitada	trouble	0	-1	0	-1	0	1	0	-1	0
esqueceram-se	have	1	1	1	0	0	1	1	0	1
confiná-las	confine	0	0	0	-1	0	1	0	-1	0
pretendida	desire	1	1	1	1	0	1	1	1	1
bloqueá-lo	block	0	0	-1	-1	0	1	1	0	-1
sangrar	bleed	0	-1	0	-1	0	0	0	0	1
atenuadas	down	0	0	0	0	0	0	1	0	0
pretendido	desire	1	1	1	1	0	1	1	1	1
dirijo-vos	be	0	1	0	0	0	0	1	0	1
Ex.ª	have	1	1	1	0	0	1	1	0	1
unifique	unify	1	1	0	1	1	1	1	0	0
ensiná-los	teach	0	1	1	1	1	1	1	0	1
vindima	harvest	1	1	1	1	1	1	1	0	1
sangram	end	0	1	0	0	1	0	1	0	0
condizente	line	0	0	0	0	1	0	1	0	1
perpetua-se	have	1	1	1	0	0	1	1	0	1
sublinhou	have	1	1	1	0	0	1	1	0	1
decisões	decide	1	1	1	1	0	1	1	0	1
cobiçado	contend	0	1	1	0	1	1	1	0	1
notabilizou	do	1	1	1	0	0	1	1	0	1
orientá-las	guide	0	0	1	1	1	1	1	1	1
veiculou	say	0	0	0	0	0	0	1	0	0
perpetua	perpetuate	1	1	1	1	1	1	1	0	1
pronunciasse	comment	0	0	0	0	0	1	1	0	1
anima	drive	1	1	0	1	0	1	1	0	1
pertencem-me	shore	0	1	1	1	1	1	1	0	1
acusarem	accuse	0	0	-1	-1	0	1	1	-1	-1
peculiares	feature	1	1	1	1	1	1	1	1	1
atmosféricos	air	0	0	0	-1	0	1	0	0	0
atrairão	attract	0	0	0	1	0	0	1	0	0
correspondida	reward	1	1	1	1	0	1	1	1	1
conteve-se	be	0	1	0	0	0	0	1	0	1
preparámo-nos	prepare	1	1	1	1	1	1	1	1	1
levantem-se	be	0	1	0	0	0	0	1	0	1
exportemos	export	0	0	1	0	1	1	1	0	1
excelências	profit	1	0	1	0	1	1	1	0	1
radicalmente	change	0	1	0	1	0	1	1	0	1
cargueiros	ship	1	0	1	1	0	1	1	0	1
contemplarmos	contemplate	1	1	1	1	1	1	1	0	1
inclusivé	be	0	1	0	0	0	0	1	0	1
demitisse	resign	0	0	0	0	-1	1	1	0	-1
honrada	keep	1	1	1	0	1	1	1	1	1
balances	balance	0	1	1	1	0	1	1	0	1
correias	wheel	0	0	0	0	1	1	1	0	1
rápida	prompt	1	1	1	1	1	1	1	1	1
regularia	regulate	0	0	0	0	1	1	1	0	1
Estive	be	0	1	0	0	0	0	1	0	1
rápido	prompt	1	1	1	1	1	1	1	1	1
gigantescas	mass	0	0	0	1	0	0	1	0	0
aleatórias	check	0	0	0	0	1	1	1	0	1
conheceria	be	0	1	0	0	0	0	1	0	1
ordenando	order	0	0	0	-1	0	0	1	0	0
Truscott	like	1	1	1	1	0	1	1	1	1
festejámos	celebrate	1	1	1	1	1	1	1	0	1
visitadas	visit	1	1	1	1	1	1	1	1	1
fight	fight	-1	0	-1	-1	0	0	1	0	-1
reajustamento	adjust	0	0	0	1	0	1	1	0	0
assomo	attempt	0	0	1	0	1	0	1	0	0
Yushchenko	master	0	1	0	1	1	1	1	0	1
procurada	seek	1	1	1	1	1	1	1	0	1
names	name	0	1	1	1	1	1	1	0	1
torná-las-ia	make	0	0	0	1	0	0	1	0	0
explicitadas	set	0	0	1	1	1	1	1	0	1
achará	do	1	1	1	0	0	1	1	0	1
subsistir	be	0	1	0	0	0	0	1	0	1
procurado	seek	1	1	1	1	1	1	1	0	1
artigo	rule	1	1	1	1	1	1	1	0	1
circule	drive	1	1	0	1	0	1	1	0	1
desejo-vos	wish	1	1	1	1	1	1	1	1	1
manteiga	make	0	0	0	1	0	0	1	0	0
morrerão	die	0	1	0	-1	-1	1	1	0	-1
subsistia	comment	0	0	0	0	0	1	1	0	1
rapariguinhas	be	0	1	0	0	0	0	1	0	1
escutaram	listen	0	1	1	1	0	0	1	0	1
barriga	chew	0	1	1	1	0	1	1	0	1
facilitar-se-ia	facilitate	1	1	0	1	0	1	1	0	0
ensinada	teach	0	1	1	1	1	1	1	0	1
infiltrado	infiltrate	1	0	-1	-1	1	1	1	-1	1
convém	be	0	1	0	0	0	0	1	0	1
aparelhos	set	0	0	1	1	1	1	1	0	1
causadoras	cause	-1	-1	0	0	0	-1	0	0	0
acarretando	lead	0	1	1	1	1	0	1	0	1
ensinado	teach	0	1	1	1	1	1	1	0	1
ocorreria	occur	1	1	0	1	0	1	0	1	0
discutindo	discuss	1	1	0	1	1	1	1	0	1
multiplicarem	number	0	0	0	1	0	0	1	0	0
Ferreira	write	1	1	1	1	1	1	1	0	1
repugnante	disgust	0	-1	0	-1	0	1	1	-1	1
experimentou	have	1	1	1	0	0	1	1	0	1
aproximo-me	be	0	1	0	0	0	0	1	0	1
conferiram	have	1	1	1	0	0	1	1	0	1
cacau	involve	0	0	0	0	1	1	1	0	0
mails	receive	1	1	1	0	1	1	1	0	1
liberalizados	liberalize	0	0	0	-1	1	1	1	0	1
inclusiva	word	0	1	0	0	0	0	1	0	0
incertos	clear	0	1	1	1	1	1	1	0	1
inclusive	include	1	1	1	1	1	1	1	1	0
movimentando	time	0	0	1	0	1	0	1	0	1
roquetes	rocket	0	0	0	1	0	0	1	0	1
Malta	picture	0	0	0	0	0	1	1	0	0
Apoie-se	support	1	1	1	1	0	1	1	1	1
transigiria	be	0	1	0	0	0	0	1	0	1
saltado	jump	0	0	0	0	1	0	1	-1	1
mola	term	1	1	0	1	1	1	0	0	0
Fayot	control	1	0	1	0	1	1	1	0	1
percebendo	understand	1	1	1	1	1	1	1	0	1
Cué	report	0	0	-1	1	0	0	1	0	-1
aperceberam	have	1	1	1	0	0	1	1	0	1
sobrepusesse	try	0	1	1	0	1	1	1	0	0
testou	have	1	1	1	0	0	1	1	0	1
juntando	bring	0	0	1	1	0	0	1	0	0
liberalizem	bring	0	0	1	1	0	0	1	0	0
lembrava	point	0	0	0	0	1	0	1	0	0
aumentaremos	increase	1	1	0	1	0	1	1	0	1
derrotas	defeat	0	0	-1	-1	1	1	1	-1	1
derrotar	defeat	0	0	-1	-1	1	1	1	-1	1
associarem-se	join	1	1	1	1	1	1	1	1	1
Portos	represent	0	1	0	1	0	1	1	0	0
determinava	be	0	1	0	0	0	0	1	0	1
relutantemente	be	0	1	0	0	0	0	1	0	1
traçou-nos	sketch	0	0	0	1	1	1	1	0	1
sobre-representadas	represent	0	1	0	1	0	1	1	0	0
meter-se	interfere	0	-1	0	0	0	1	0	0	0
melhorou-o	improve	1	1	1	1	0	1	1	0	1
celebrava	celebrate	1	1	1	1	1	1	1	0	1
solenidade	accord	1	0	0	1	0	1	1	0	1
estranheza	surprise	1	1	1	1	1	0	1	0	1
melhorou-a	have	1	1	1	0	0	1	1	0	1
informou-nos	inform	1	1	1	1	0	1	1	1	0
plantação	plant	1	1	1	1	1	1	1	0	1
Faço	be	0	1	0	0	0	0	1	0	1
Turcomenistão	satisfy	1	1	0	1	0	1	1	1	1
proezas	exploit	0	-1	-1	-1	0	1	1	-1	0
antipedagógicas	conceal	-1	0	-1	0	0	1	1	0	0
parafusos	manage	1	1	1	1	1	1	1	0	1
nomearem	appoint	1	1	1	1	1	1	1	1	1
envolvê-lo	involve	0	0	0	0	1	1	1	0	0
defrontam-se	face	0	0	0	0	1	1	1	0	1
Terni	plant	1	1	1	1	1	1	1	0	1
gozava	enjoy	1	1	1	1	1	1	1	1	1
apito	whistle	0	1	0	0	0	1	1	0	1
eclodiram	break	0	0	-1	-1	1	1	1	0	1
seitas	join	1	1	1	1	1	1	1	1	1
envolvê-la	involve	0	0	0	0	1	1	1	0	0
retaguarda	back	1	1	1	1	1	1	1	1	1
celebremos	celebrate	1	1	1	1	1	1	1	0	1
tangência	cut	0	0	0	-1	0	0	1	0	0
esbate	blur	0	0	0	-1	0	0	0	0	0
Alemanha	perpetrate	0	0	-1	-1	0	1	1	0	1
deslocadas	displace	0	0	0	-1	0	1	0	-1	0
comungando	do	1	1	1	0	0	1	1	0	1
relance	glance	0	1	0	0	0	0	1	0	0
aproximou	have	1	1	1	0	0	1	1	0	1
desencorajadores	discourage	0	0	-1	-1	0	1	1	-1	0
irritante	annoy	0	-1	0	-1	0	1	0	-1	0
levantando	raise	0	0	1	1	0	0	1	0	1
avança	be	0	1	0	0	0	0	1	0	1
mobilizemos	look	0	1	1	0	0	0	1	0	1
desenhados	design	1	1	1	1	1	1	1	0	1
desconcertantes	deliver	1	1	1	1	0	1	1	0	1
global	total	0	0	0	0	0	1	1	0	0
