fr Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
rentable	pay	0	0	-1	0	0	-1	1	0	-1
associatives	do	1	1	1	0	0	1	1	0	1
apparues	emerge	1	1	0	0	0	1	1	0	1
rejettent	reject	0	0	-1	-1	0	1	1	0	0
envisageaient	be	0	1	0	0	0	0	1	0	1
étendions	extend	0	1	1	1	1	1	1	0	1
vécues	experience	0	1	-1	0	-1	0	1	0	-1
façonnage	shape	1	1	0	1	1	1	1	0	0
précède	precede	0	0	0	1	0	1	1	0	0
entament	be	0	1	0	0	0	0	1	0	1
curieuses	can	0	0	0	0	0	1	1	0	1
attisés	fuel	0	0	0	1	1	1	1	0	1
détournent	turn	0	0	0	0	0	0	1	0	0
disposée	prepare	1	1	1	1	1	1	1	1	1
brevetable	be	0	1	0	0	0	0	1	0	1
transporter	transport	0	1	0	1	1	1	1	0	0
intenté	bring	0	0	1	1	0	0	1	0	0
immobilisé	grind	0	0	0	-1	0	0	1	0	1
loyalistes	see	1	1	1	1	1	1	1	0	1
hypothèquent	be	0	1	0	0	0	0	1	0	1
approuverions	be	0	1	0	0	0	0	1	0	1
dépendantes	be	0	1	0	0	0	0	1	0	1
résiste	resist	-1	0	-1	-1	1	1	1	-1	1
collé	stick	0	0	0	0	-1	1	1	0	-1
suppositions	guess	0	1	1	0	0	1	1	0	0
start	start	1	1	1	1	1	1	1	0	1
stars	star	1	1	1	1	1	1	1	0	1
encourageriez	be	0	1	0	0	0	0	1	0	1
allergie	affect	1	0	0	0	0	1	1	0	0
mazout	fuel	0	0	0	1	1	1	1	0	1
recouper	word	0	1	0	0	0	0	1	0	0
Euroland	zone	0	0	0	0	0	0	1	0	0
assistancialisme	become	0	0	0	0	0	0	1	0	0
témoigne	be	0	1	0	0	0	0	1	0	1
Fléchard	notice	1	1	1	0	1	1	1	0	0
délocalisé	relocate	0	1	1	1	1	1	1	0	1
retournant	return	0	0	0	0	0	1	1	0	0
régulations	rule	1	1	1	1	1	1	1	0	1
recoin	corner	0	0	-1	-1	1	1	1	0	0
recréé	restore	1	1	1	1	0	1	1	1	1
cellules	team	0	0	0	1	1	0	1	0	1
jalon	step	1	1	1	1	1	0	1	0	1
raffinée	refine	0	1	0	1	1	1	1	0	1
bougent	be	0	1	0	0	0	0	1	0	1
désagréable	annoy	0	-1	0	-1	0	1	0	-1	0
irlandais	vote	0	0	0	1	1	1	1	0	0
devançant	anticipate	0	0	0	1	1	0	1	0	0
cercueil	face	0	0	0	0	1	1	1	0	1
amenions	make	0	0	0	1	0	0	1	0	0
Adaptation	adapt	0	1	1	1	1	1	1	0	1
sanctionne	sanction	0	-1	-1	-1	0	1	1	0	1
génériques	enable	1	1	0	1	1	1	1	1	0
rejetteront	reject	0	0	-1	-1	0	1	1	0	0
staliniste	die	0	1	0	-1	-1	1	1	0	-1
rejetterons	reject	0	0	-1	-1	0	1	1	0	0
distance	distance	0	0	0	0	0	1	1	0	0
ergotent	be	0	1	0	0	0	0	1	0	1
abstenais	be	0	1	0	0	0	0	1	0	1
600	figure	0	0	0	0	0	0	0	0	0
dénuement	need	0	1	1	0	0	1	1	0	0
financée	finance	1	1	1	1	1	1	1	0	1
fusions	merge	0	0	0	1	1	1	1	0	1
609	control	1	0	1	0	1	1	1	0	1
assolement	crop	0	0	1	0	1	1	1	0	1
financés	finance	1	1	1	1	1	1	1	0	1
allergènes	be	0	1	0	0	0	0	1	0	1
intente	take	1	1	1	0	1	1	1	0	1
immobilise	grind	0	0	0	-1	0	0	1	0	1
implorent	be	0	1	0	0	0	0	1	0	1
patriotisme	name	0	1	1	1	1	1	1	0	1
méticuleux	detail	0	0	0	1	0	0	1	0	0
détiennent	hold	0	1	1	1	1	1	1	0	1
écritures	book	0	0	1	1	1	1	1	0	1
subissons	be	0	1	0	0	0	0	1	0	1
probantes	carry	0	1	1	0	0	1	1	0	0
colle	stick	0	0	0	0	-1	1	1	0	-1
cabinets	practice	0	0	1	1	0	0	1	0	0
euphémismes	employ	1	1	1	1	1	1	1	0	1
atteignaient	reach	0	1	0	0	0	1	1	0	0
citoyennes	benefit	1	1	0	1	1	1	1	1	1
croyant	believe	0	0	1	1	0	1	1	1	1
boîtes-aux-lettres	try	0	1	1	0	1	1	1	0	0
décevez	disappoint	0	-1	0	-1	0	1	0	-1	-1
bolivien	aid	1	1	1	1	0	1	1	1	1
légendaires	have	1	1	1	0	0	1	1	0	1
déboucherons	reach	0	1	0	0	0	1	1	0	0
forcing	pressure	0	0	0	-1	0	0	1	-1	0
frôlé	be	0	1	0	0	0	0	1	0	1
rivalisaient	owe	0	0	-1	0	-1	0	1	0	-1
fermes	farm	0	1	1	1	1	1	1	0	1
fermer	close	0	1	1	0	0	1	1	0	1
garde-frontières	border	0	0	0	0	0	0	0	0	0
témoigné	show	1	1	1	0	1	0	1	0	0
ralliés	support	1	1	1	1	0	1	1	1	1
joindrons	do	1	1	1	0	0	1	1	0	1
fermez	close	0	1	1	0	0	1	1	0	1
joindront	join	1	1	1	1	1	1	1	1	1
Minsk	knock	0	-1	-1	-1	0	1	0	-1	0
corbeille	waste	0	-1	0	-1	-1	1	1	0	-1
harcèle	harass	0	-1	-1	-1	0	1	0	-1	0
allouera	provide	1	1	1	1	1	1	1	0	1
tours-opérateurs	tour	0	1	0	0	1	1	1	0	1
délocalise	relocate	0	1	1	1	1	1	1	0	1
préventivement	measure	0	1	0	0	0	0	1	0	1
remerciions	thank	1	1	1	1	1	1	1	1	1
consultons	consult	1	1	1	1	1	1	1	1	1
procès-verbal	record	1	1	1	1	1	1	1	0	1
cousu	enjoy	1	1	1	1	1	1	1	1	1
lèguerons	sort	0	0	0	1	0	1	1	0	0
souder	bring	0	0	1	1	0	0	1	0	0
préservent	preserve	1	1	1	1	0	1	1	0	1
constatez	see	1	1	1	1	1	1	1	0	1
non-ingérence	interfere	0	-1	0	0	0	1	0	0	0
enverriez	send	1	1	1	0	1	1	1	0	1
dénigrer	down	0	0	0	0	0	0	1	0	0
Rübig	wish	1	1	1	1	1	1	1	1	1
mégoter	be	0	1	0	0	0	0	1	0	1
explosera	go	0	0	0	0	0	0	1	0	0
attarde	dwell	0	0	0	0	0	1	1	0	1
nouera	forge	1	1	1	1	1	1	1	0	1
246	carry	0	1	1	0	0	1	1	0	0
Bladel	finance	1	1	1	1	1	1	1	0	1
bâillonne	be	0	1	0	0	0	0	1	0	1
allégués	allege	0	0	0	0	0	1	1	-1	0
aube	begin	1	1	1	1	0	1	1	0	1
pique	pride	1	1	1	1	0	1	1	1	1
quadrature	square	0	0	0	0	0	1	1	0	0
pro-cycliques	involve	0	0	0	0	1	1	1	0	0
alléguée	allege	0	0	0	0	0	1	1	-1	0
transférable	back	1	1	1	1	1	1	1	1	1
nullité	revoke	0	0	-1	-1	0	1	1	0	1
espérance	hope	1	1	1	1	0	0	1	0	1
Échelon	exist	1	1	1	0	1	0	1	0	1
motocyclettes	test	0	1	1	0	1	1	1	0	1
rencontrant	meet	0	1	1	1	1	1	1	0	1
tenaient	be	0	1	0	0	0	0	1	0	1
consolident	consolidate	1	0	0	1	1	1	1	0	1
bradés	sell	0	0	0	0	1	1	1	0	1
muselés	be	0	1	0	0	0	0	1	0	1
fréquent	frequent	1	1	1	0	1	1	1	1	0
Uruguay-Round	do	1	1	1	0	0	1	1	0	1
retomber	back	1	1	1	1	1	1	1	1	1
acquises	acquire	1	1	1	1	1	1	1	0	1
bradée	sell	0	0	0	0	1	1	1	0	1
propage	spread	-1	-1	0	1	0	-1	1	0	0
aggravée	aggravate	-1	0	-1	-1	0	-1	0	0	0
Kostuniça	be	0	1	0	0	0	0	1	0	1
rebellent	rebel	0	0	0	-1	0	1	1	-1	1
phasing-in	phase	0	0	0	1	1	0	1	0	0
échelonnements	be	0	1	0	0	0	0	1	0	1
marchés	market	0	0	0	1	1	1	1	0	1
exigents	need	0	1	1	0	0	1	1	0	0
redémarrer	start	1	1	1	1	1	1	1	0	1
Cappato	say	0	0	0	0	0	0	1	0	0
empoisonnant	poison	0	-1	-1	-1	0	1	0	-1	1
hold-up	raid	0	0	-1	-1	1	1	1	-1	1
sérieusement	take	1	1	1	0	1	1	1	0	1
participatif	form	1	1	1	1	1	1	1	0	1
assisterons	see	1	1	1	1	1	1	1	0	1
astucieusement	handle	0	1	0	1	0	1	1	0	1
atmosphérique	air	0	0	0	-1	0	1	0	0	0
soulèverait	raise	0	0	1	1	0	0	1	0	1
remettaient	question	0	0	1	1	1	1	1	0	1
alliée	ally	0	0	0	0	0	1	1	0	1
Hans-Seidel	force	0	0	0	-1	0	1	0	-1	0
œuvreront	work	1	1	1	1	0	1	1	0	1
œuvrerons	work	1	1	1	1	0	1	1	0	1
alliés	ally	0	0	0	0	0	1	1	0	1
défausse	urge	1	1	1	1	0	1	1	1	1
déductions	claim	1	1	1	0	1	1	1	0	1
appauvrissent	deplete	0	-1	0	-1	0	1	-1	-1	0
intervenions	intervene	0	0	0	-1	0	1	1	0	1
locomotive	drive	1	1	0	1	0	1	1	0	1
LPG	be	0	1	0	0	0	0	1	0	1
correcteur	mitigate	0	0	0	0	0	0	1	0	0
rongés	pursue	0	1	1	0	0	1	1	0	1
chiffrées	figure	0	0	0	0	0	0	0	0	0
OPCVM-2	turn	0	0	0	0	0	0	1	0	0
amuse-bouches	reflect	0	0	0	0	0	0	1	0	0
envoyés	send	1	1	1	0	1	1	1	0	1
putride	corrupt	1	-1	0	-1	0	1	0	-1	0
fatalement	involve	0	0	0	0	1	1	1	0	0
rongée	make	0	0	0	1	0	0	1	0	0
entraînant	lead	0	1	1	1	1	0	1	0	1
unies	unite	1	1	0	1	0	1	1	1	0
controverses	dispute	0	0	-1	-1	-1	1	1	0	-1
1989-1990	mention	0	1	0	0	0	1	1	0	0
biosphère	fear	-1	0	-1	0	-1	0	1	0	-1
piqué	be	0	1	0	0	0	0	1	0	1
remboursement	reimburse	1	1	1	1	1	1	1	0	1
réductrice	reduce	0	0	0	-1	1	1	1	-1	0
inspection/	screen	0	0	0	0	0	1	1	0	1
fulminer	warn	0	1	0	1	0	1	1	0	0
accusions	accuse	0	0	-1	-1	0	1	1	-1	-1
ose	dare	1	1	1	0	1	1	1	0	1
adieux	say	0	0	0	0	0	0	1	0	0
aile	side	0	0	0	0	1	0	1	0	0
infirmer	deny	0	0	-1	-1	0	1	1	0	-1
infirmes	disable	0	0	0	-1	0	0	1	0	0
propagé	spread	-1	-1	0	1	0	-1	1	0	0
cérémonial	desire	1	1	1	1	0	1	1	1	1
flottant	float	0	0	1	0	0	1	1	0	1
décomptes	count	0	0	1	1	1	1	1	0	1
tournée	look	0	1	1	0	0	0	1	0	1
incroyables	amount	0	0	0	1	0	0	1	0	0
résiliable	delay	-1	0	-1	-1	-1	0	1	0	-1
loyer	rent	1	1	1	1	1	1	1	0	1
sécurisées	secure	0	0	1	1	1	1	1	0	1
tournés	turn	0	0	0	0	0	0	1	0	0
désapprobation	dissent	0	0	-1	-1	0	1	1	0	1
summum	head	1	0	1	1	1	1	1	0	1
lire	read	0	0	1	0	1	0	1	0	1
infondées	make	0	0	0	1	0	0	1	0	0
reconvertir	convert	0	0	1	1	1	1	1	0	1
Miserotti	sit	0	0	0	0	0	0	0	0	0
évaluateur	be	0	1	0	0	0	0	1	0	1
round	round	0	0	0	0	1	0	1	0	0
Demaci	commemorate	1	1	1	1	1	1	1	1	0
inspirez	draw	0	0	1	1	1	1	0	0	0
récoltant	collect	1	1	1	1	1	1	1	0	1
envoyée	send	1	1	1	0	1	1	1	0	1
inspirer	inspire	1	1	1	1	1	1	1	1	1
enregistrerait	spend	0	1	0	0	0	0	1	0	0
asymétrique	balance	0	1	1	1	0	1	1	0	1
vidés	be	0	1	0	0	0	0	1	0	1
échappements	feed	1	1	1	1	0	1	1	1	1
marginal	marginalize	0	0	0	-1	0	1	0	-1	0
Lötschberg-Simplon	delay	-1	0	-1	-1	-1	0	1	0	-1
incisif	force	0	0	0	-1	0	1	0	-1	0
capital	major	0	1	0	0	1	1	1	0	1
acquièrent	acquire	1	1	1	1	1	1	1	0	1
déverse	dump	0	-1	0	-1	1	0	0	-1	1
incluent	include	1	1	1	1	1	1	1	1	0
activité	work	1	1	1	1	0	1	1	0	1
vidéo	record	1	1	1	1	1	1	1	0	1
étire	be	0	1	0	0	0	0	1	0	1
détricoter	unravel	0	1	0	0	0	1	1	0	0
revoient	review	0	0	0	1	0	1	1	0	0
facturant	charge	-1	0	0	-1	1	1	1	-1	1
Manche	channel	0	0	0	0	0	0	1	0	0
auditionner	hear	0	1	0	0	1	1	1	0	0
estce	be	0	1	0	0	0	0	1	0	1
autoréglementer	regulate	0	0	0	0	1	1	1	0	1
transgresse	violate	0	-1	-1	-1	0	1	0	0	-1
supprimez	be	0	1	0	0	0	0	1	0	1
redéfinissons	redesign	1	1	1	1	1	1	1	0	1
Raphaël	enhance	1	1	1	1	0	1	1	0	1
supprimer	remove	-1	1	-1	-1	1	0	1	-1	0
inqualifiable	adopt	1	1	1	1	1	1	1	0	1
terminions	leave	0	0	0	0	0	0	1	-1	0
tâchons	try	0	1	1	0	1	1	1	0	0
fast-food	convert	0	0	1	1	1	1	1	0	1
utilisée	be	0	1	0	0	0	0	1	0	1
réalité	be	0	1	0	0	0	0	1	0	1
embarquons	embark	1	1	0	1	1	1	1	0	1
Si	push	0	0	-1	-1	0	1	1	-1	0
obtention	obtain	1	1	1	0	1	1	1	0	1
thermaux	vent	0	0	0	0	0	0	1	0	0
rirait	can	0	0	0	0	0	1	1	0	1
revendiquent	be	0	1	0	0	0	0	1	0	1
notiez	note	0	0	0	0	0	0	1	0	0
utilisés	be	0	1	0	0	0	0	1	0	1
document	document	0	0	0	0	0	1	1	0	0
rebâtir	rebuild	1	1	1	1	1	1	1	0	1
radiotélévision	broadcast	0	0	0	1	1	1	1	0	1
conduiraient	lead	0	1	1	1	1	0	1	0	1
auto-assistance	load	0	0	0	1	1	0	1	0	0
envahir	invade	0	0	0	-1	1	1	1	-1	1
envahis	invade	0	0	0	-1	1	1	1	-1	1
SP	advocate	1	1	1	1	1	1	1	0	1
museler	silence	0	-1	-1	-1	0	1	0	-1	0
Assange	extradite	0	0	-1	-1	0	1	1	-1	1
envahit	be	0	1	0	0	0	0	1	0	1
ballottés	be	0	1	0	0	0	0	1	0	1
enflure	try	0	1	1	0	1	1	1	0	0
garderie	begin	1	1	1	1	0	1	1	0	1
arrangements	deal	0	0	0	0	0	0	0	0	0
proviendraient	be	0	1	0	0	0	0	1	0	1
budgets	fund	1	1	1	1	1	1	1	0	1
SA	limit	0	0	0	-1	0	1	1	0	0
SE	can	0	0	0	0	0	1	1	0	1
envahie	invade	0	0	0	-1	1	1	1	-1	1
740	word	0	1	0	0	0	0	1	0	0
ultimes	last	0	0	0	0	0	-1	-1	0	0
malaises	lead	0	1	1	1	1	0	1	0	1
souvenus	remember	1	1	1	1	1	1	1	1	1
berçons	be	0	1	0	0	0	0	1	0	1
surtaxe	levy	1	0	1	1	1	0	1	0	1
posséder	have	1	1	1	0	0	1	1	0	1
phrase	sentence	-1	1	-1	-1	0	1	1	-1	0
possédez	have	1	1	1	0	0	1	1	0	1
souvenue	remember	1	1	1	1	1	1	1	1	1
véhiculera	hand	1	1	0	1	1	1	1	0	1
déversé	pour	0	1	1	1	0	1	1	0	1
combattirent	down	0	0	0	0	0	0	1	0	0
supervisent	supervise	1	1	1	1	1	1	1	0	1
répercute	pass	0	1	0	0	0	1	1	0	0
astreint	word	0	1	0	0	0	0	1	0	0
huis-clos	close	0	1	1	0	0	1	1	0	1
liaison	link	1	1	1	1	1	1	1	0	0
remplissiez	do	1	1	1	0	0	1	1	0	1
XIXe	see	1	1	1	1	1	1	1	0	1
pédiatriques	sound	1	0	0	1	0	1	0	0	0
centrerai	focus	1	1	1	1	0	1	1	0	1
surpasser	surpass	1	1	0	1	1	1	1	0	1
recomposition	order	0	0	0	-1	0	0	1	0	0
ceintures	seat	1	1	1	1	0	1	1	1	0
décaissement	pay	0	0	-1	0	0	-1	1	0	-1
tuons	kill	0	-1	-1	-1	-1	1	0	-1	-1
taisons	say	0	0	0	0	0	0	1	0	0
écoper	deal	0	0	0	0	0	0	0	0	0
Münchhausen	aim	0	0	0	1	1	0	1	0	1
courtoisie	matter	0	0	0	-1	0	1	1	0	0
irréversibles	major	0	1	0	0	1	1	1	0	1
boycottent	boycott	1	-1	-1	-1	-1	1	1	0	-1
horizontal	board	0	0	1	0	1	1	1	0	1
compulsory	license	0	1	1	1	1	1	1	0	1
monoculture	crop	0	0	1	0	1	1	1	0	1
tordu	argue	0	0	1	1	0	1	1	0	0
spéculer	speculate	0	1	1	0	0	0	1	0	1
bastions	attempt	0	0	1	0	1	0	1	0	0
retranchés	restore	1	1	1	1	0	1	1	1	1
UDB	appoint	1	1	1	1	1	1	1	1	1
socio-économique	mention	0	1	0	0	0	1	1	0	0
UDF	lead	0	1	1	1	1	0	1	0	1
affirmations	claim	1	1	1	0	1	1	1	0	1
gonflé	increase	1	1	0	1	0	1	1	0	1
désintoxiquer	kick	0	-1	-1	-1	0	1	1	-1	0
absurdité	utter	1	1	-1	0	0	1	1	0	1
imprenable	appear	1	0	1	0	0	1	1	0	1
pendu	hang	0	0	0	1	0	1	1	0	0
préservées	preserve	1	1	1	1	0	1	1	0	1
stérilisation	stop	0	0	0	-1	1	1	1	-1	0
définisse	define	0	0	0	1	1	1	1	0	0
kidnappés	kidnap	0	0	-1	-1	1	1	1	-1	1
Honeyball	say	0	0	0	0	0	0	1	0	0
absence	lack	0	0	0	0	-1	1	1	0	-1
descentes	raid	0	0	-1	-1	1	1	1	-1	1
kidnappée	kidnap	0	0	-1	-1	1	1	1	-1	1
dissimulaient	be	0	1	0	0	0	0	1	0	1
positionnant	position	0	0	0	1	0	1	1	0	0
affame	starve	0	-1	-1	-1	0	1	0	-1	1
ferroviaire	train	1	1	1	1	1	1	1	1	1
obtenus	achieve	1	1	1	1	1	1	1	0	1
déprimante	depress	0	-1	0	-1	0	1	0	-1	0
Passons	catch	0	1	0	0	1	1	1	0	1
tortueuses	constitute	1	1	1	1	1	1	1	1	1
terrain	grind	0	0	0	-1	0	0	1	0	1
cet	achieve	1	1	1	1	1	1	1	0	1
ces	develop	0	1	0	1	0	0	1	0	0
négociateurs	negotiate	1	1	1	1	1	1	1	0	1
évince	force	0	0	0	-1	0	1	0	-1	0
abroge	repeal	1	1	0	-1	1	1	1	0	1
déprimants	depress	0	-1	0	-1	0	1	0	-1	0
effondrer	collapse	0	0	0	-1	0	1	1	0	0
faire	do	1	1	1	0	0	1	1	0	1
percevaient	receive	1	1	1	0	1	1	1	0	1
servirions	be	0	1	0	0	0	0	1	0	1
démarches	step	1	1	1	1	1	0	1	0	1
distingueront	own	0	1	1	1	1	1	1	0	1
enlisent	down	0	0	0	0	0	0	1	0	0
portiez	go	0	0	0	0	0	0	1	0	0
polarisé	become	0	0	0	0	0	0	1	0	0
lourde	burden	0	-1	-1	-1	-1	0	1	0	-1
concentrons	concentrate	0	0	0	0	1	1	0	0	0
SAVE	save	1	1	1	1	0	1	1	1	1
intensifions	intensify	0	0	0	0	0	1	0	0	0
Afghans	side	0	0	0	0	1	0	1	0	0
Gruntvig	lead	0	1	1	1	1	0	1	0	1
punitive	hit	0	-1	-1	-1	0	1	0	-1	0
apprêtions	be	0	1	0	0	0	0	1	0	1
alliages	sort	0	0	0	1	0	1	1	0	0
surmonté	overcome	0	1	-1	0	1	0	1	0	1
ruée	rush	0	0	-1	-1	1	1	1	-1	0
interdisait	prohibit	0	0	-1	-1	0	0	1	0	0
pêcheurs	chase	0	0	-1	-1	0	1	1	-1	0
acheminons	be	0	1	0	0	0	0	1	0	1
Inuits	affect	1	0	0	0	0	1	1	0	0
délimitent	be	0	1	0	0	0	0	1	0	1
serions	be	0	1	0	0	0	0	1	0	1
mitraillettes	gun	0	0	0	0	0	1	1	-1	0
helvétique	follow	0	0	1	1	1	1	1	0	1
abysses	down	0	0	0	0	0	0	1	0	0
télécopie	intercept	0	0	0	-1	0	1	1	-1	1
offre	supply	0	0	1	1	1	1	1	0	1
ténébreuse	figure	0	0	0	0	0	0	0	0	0
exportateur	export	0	0	1	0	1	1	1	0	1
date-clé	go	0	0	0	0	0	0	1	0	0
assoupies	reopen	0	1	0	-1	1	1	1	0	1
arc-en-ciel	sound	1	0	0	1	0	1	0	0	0
superviseurs	monitor	0	1	1	1	1	0	1	0	0
reporting	report	0	0	-1	1	0	0	1	0	-1
rancune	feel	1	1	1	0	0	0	1	0	1
précision	detail	0	0	0	1	0	0	1	0	0
Vallelersundi	approach	0	1	1	0	1	1	1	0	1
houses	house	1	1	0	1	1	1	1	1	1
empirent	be	0	1	0	0	0	0	1	0	1
perturbation	disrupt	1	-1	0	-1	0	1	0	-1	0
abrogé	repeal	1	1	0	-1	1	1	1	0	1
conjuguent	combine	1	1	1	1	1	1	1	0	1
1984.	be	0	1	0	0	0	0	1	0	1
envahissent	invade	0	0	0	-1	1	1	1	-1	1
fonctionnaient	work	1	1	1	1	0	1	1	0	1
correctif	arm	0	0	0	-1	0	1	0	-1	0
rumine	be	0	1	0	0	0	0	1	0	1
angolaises	be	0	1	0	0	0	0	1	0	1
apparente	amount	0	0	0	1	0	0	1	0	0
détaille	detail	0	0	0	1	0	0	1	0	0
technocratiques	adopt	1	1	1	1	1	1	1	0	1
entrée	enter	1	1	1	0	1	1	1	0	1
succèdent	follow	0	0	1	1	1	1	1	0	1
Simone	draw	0	0	1	1	1	1	0	0	0
apparents	seem	0	0	0	0	0	-1	0	0	0
prévaricateurs	rule	1	1	1	1	1	1	1	0	1
Brok	say	0	0	0	0	0	0	1	0	0
ellesmêmes	want	1	0	1	0	0	1	1	0	1
chercheuses	research	0	-1	1	1	1	1	1	0	1
imaginatif	picture	0	0	0	0	0	1	1	0	0
piétonnières	walk	0	1	1	0	0	-1	1	0	1
abrogées	repeal	1	1	0	-1	1	1	1	0	1
révisées	revise	1	1	1	1	1	1	1	0	1
réglée	resolve	-1	1	0	0	1	-1	1	0	1
débarrasser	rid	0	0	0	0	0	0	1	0	1
décontamination	clean	0	1	1	1	0	0	1	0	1
réglés	settle	0	1	0	1	1	1	1	0	1
déclinera	decline	0	0	-1	-1	0	1	1	0	0
fuites	leak	0	0	0	0	0	1	-1	0	0
visions	view	0	0	0	1	0	1	1	0	0
cesseront	stop	0	0	0	-1	1	1	1	-1	0
libérera	free	1	1	1	1	1	1	1	1	1
penchées	look	0	1	1	0	0	0	1	0	1
adriatique	satisfy	1	1	0	1	0	1	1	1	1
dégonfle	have	1	1	1	0	0	1	1	0	1
dissuaderont	deter	0	0	0	-1	0	1	1	-1	0
multiplie	increase	1	1	0	1	0	1	1	0	1
transcendent	transcend	0	1	0	1	0	1	1	0	0
Bullman	quote	1	1	1	1	1	1	1	0	0
interdisaient	be	0	1	0	0	0	0	1	0	1
estimées	estimate	1	1	1	0	0	1	1	0	1
pourrez	can	0	0	0	0	0	1	1	0	1
envoyées	send	1	1	1	0	1	1	1	0	1
Millenium	concern	1	-1	0	-1	0	1	1	-1	0
abusifs	abuse	1	-1	-1	-1	0	1	1	-1	-1
1918	write	1	1	1	1	1	1	1	0	1
contre-vérité	complete	1	1	1	1	1	1	1	0	1
concédé	concede	0	0	-1	1	-1	1	1	0	-1
longtemps	time	0	0	1	0	1	0	1	0	1
1911	go	0	0	0	0	0	0	1	0	0
1913	date	0	0	1	0	1	0	1	0	1
1915	do	1	1	1	0	0	1	1	0	1
accommoderons	position	0	0	0	1	0	1	1	0	0
couramment	have	1	1	1	0	0	1	1	0	1
étudié	study	1	0	1	1	1	1	1	0	1
rabais	discount	0	0	0	-1	0	0	1	0	1
entrave	hinder	0	-1	0	-1	0	1	0	-1	0
remplaciez	be	0	1	0	0	0	0	1	0	1
Maître	be	0	1	0	0	0	0	1	0	1
grec	suffer	-1	1	-1	0	-1	-1	1	0	-1
redressement	recover	1	1	1	1	1	1	1	0	1
alertées	alert	0	0	0	1	0	1	1	0	0
nutritionnelle	receive	1	1	1	0	1	1	1	0	1
mètres	distance	0	0	0	0	0	1	1	0	0
renferme	contain	0	0	0	0	0	0	1	0	0
880	talk	0	0	0	0	0	1	1	0	0
nuls	spoil	0	-1	0	-1	-1	1	0	-1	-1
contraception	control	1	0	1	0	1	1	1	0	1
phobie	fear	-1	0	-1	0	-1	0	1	0	-1
filature	keep	1	1	1	0	1	1	1	1	1
organe	board	0	0	1	0	1	1	1	0	1
conservera	retain	1	1	1	1	1	1	1	0	1
2001.	write	1	1	1	1	1	1	1	0	1
injustes	be	0	1	0	0	0	0	1	0	1
Israéliens	side	0	0	0	0	1	0	1	0	0
futuriste	go	0	0	0	0	0	0	1	0	0
environnant	surround	0	0	-1	0	1	1	1	0	1
praticien	lock	0	0	1	1	0	0	1	0	1
Penser	think	0	0	1	1	1	1	1	1	0
faisons	do	1	1	1	0	0	1	1	0	1
épargnerai	spare	0	1	0	1	0	1	1	0	1
inspirerait	inspire	1	1	1	1	1	1	1	1	1
opt-in	opt	1	1	1	0	1	1	1	0	1
dissimulant	conceal	-1	0	-1	0	0	1	1	0	0
REACH	reach	0	1	0	0	0	1	1	0	0
bienfaisance	incorporate	0	0	1	1	0	1	1	0	1
qualitatif	term	1	1	0	1	1	1	0	0	0
Sbarbati	call	0	0	1	1	0	1	1	0	1
preneur	sell	0	0	0	0	1	1	1	0	1
tiers-mondiser	turn	0	0	0	0	0	0	1	0	0
siennes	own	0	1	1	1	1	1	1	0	1
mutualiser	pool	0	0	0	0	1	1	1	0	1
cautionne	support	1	1	1	1	0	1	1	1	1
prédiction	predict	0	1	0	0	0	1	1	0	0
tramways	exist	1	1	1	0	1	0	1	0	1
privatiser	privatize	0	0	1	1	1	1	1	0	1
déplacées	displace	0	0	0	-1	0	1	0	-1	0
aires	park	0	0	0	0	0	1	1	0	1
Giannakou	take	1	1	1	0	1	1	1	0	1
boîte	can	0	0	0	0	0	1	1	0	1
réexamens	review	0	0	0	1	0	1	1	0	0
étudie	be	0	1	0	0	0	0	1	0	1
désamorceraient	be	0	1	0	0	0	0	1	0	1
unissez	unite	1	1	0	1	0	1	1	1	0
Nicaragua	post	0	1	1	1	0	1	1	0	1
manifesterait	express	-1	0	0	0	1	0	1	0	0
accueillons	welcome	1	1	1	1	1	1	1	1	1
unicité	single	0	0	0	-1	0	0	1	0	0
quote-parts	finance	1	1	1	1	1	1	1	0	1
soubresaut	go	0	0	0	0	0	0	1	0	0
félicitaient	pursue	0	1	1	0	0	1	1	0	1
affrontait	confront	0	0	-1	-1	0	0	1	-1	0
admirée	admire	1	1	1	1	1	1	1	1	1
évacuons	demonstrate	0	0	1	1	0	1	1	0	1
alouettes	lure	0	0	0	0	1	1	0	0	0
Johannesburg	do	1	1	1	0	0	1	1	0	1
libéralisiez	control	1	0	1	0	1	1	1	0	1
combattra	combat	0	0	0	-1	0	1	1	0	0
forfait	package	0	0	0	1	1	0	1	0	1
justice	court	1	1	1	1	1	1	1	1	1
quel	stand	0	1	1	0	1	0	1	0	0
fraudé	be	0	1	0	0	0	0	1	0	1
agresseurs	attack	0	-1	-1	-1	1	1	0	-1	0
tollé	protest	1	0	1	1	0	1	1	0	1
tueras	kill	0	-1	-1	-1	-1	1	0	-1	-1
cofinançons	be	0	1	0	0	0	0	1	0	1
dotant	provide	1	1	1	1	1	1	1	0	1
désintéressent	take	1	1	1	0	1	1	1	0	1
transparaît	be	0	1	0	0	0	0	1	0	1
potables	drink	0	0	1	0	1	0	1	0	1
verserai	be	0	1	0	0	0	0	1	0	1
Grecs	side	0	0	0	0	1	0	1	0	0
avant-guerre	be	0	1	0	0	0	0	1	0	1
