de Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
Gesellschaftsmodelle	model	0	0	0	1	1	1	1	0	1
Gesellschaftsmodells	model	0	0	0	1	1	1	1	0	1
zurückgehalten	withhold	0	0	0	-1	0	1	1	0	0
Beharrlichkeit	resolve	-1	1	0	0	1	-1	1	0	1
Rückzug	withdraw	0	0	0	-1	0	1	1	0	0
Führungsstärke	lead	0	1	1	1	1	0	1	0	1
gelegene	locate	0	1	0	1	1	1	1	0	0
Arbeiten	work	1	1	1	1	0	1	1	0	1
Dies	display	0	0	0	1	0	0	1	0	0
Fels	rock	0	0	0	-1	0	1	1	-1	1
geschleust	pilot	0	1	0	1	1	1	1	0	1
Geschäften	shop	0	0	1	0	1	1	1	0	1
Arbeiter	work	1	1	1	1	0	1	1	0	1
auszuhöhlen	undermine	0	-1	0	-1	0	1	0	0	0
regen	encourage	1	1	1	1	0	1	1	1	1
Feld	field	0	0	1	1	1	1	1	0	0
notgedrungen	force	0	0	0	-1	0	1	0	-1	0
beschleunigten	accelerate	0	0	0	1	0	1	0	0	0
Wirkung	result	0	0	0	0	1	0	1	0	0
Klimafonds	fund	1	1	1	1	1	1	1	0	1
befaßt	deal	0	0	0	0	0	0	0	0	0
befristete	limit	0	0	0	-1	0	1	1	0	0
beschleunigter	accelerate	0	0	0	1	0	1	0	0	0
beschleunigtes	accelerate	0	0	0	1	0	1	0	0	0
zögerte	hesitate	0	0	-1	0	-1	0	1	0	-1
Menschenrechtsgruppen	group	0	0	0	1	1	0	1	0	1
abgerufen	take	1	1	1	0	1	1	1	0	1
beschritten	take	1	1	1	0	1	1	1	0	1
decken	cover	0	0	0	1	1	1	1	0	0
begriffenen	emerge	1	1	0	0	0	1	1	0	1
Schatten	shadow	0	0	0	0	0	1	1	0	0
zeugen	demonstrate	0	0	1	1	0	1	1	0	1
strittige	dispute	0	0	-1	-1	-1	1	1	0	-1
zählte	count	0	0	1	1	1	1	1	0	1
Finanzierungsfrage	fund	1	1	1	1	1	1	1	0	1
Marktmaßnahmen	market	0	0	0	1	1	1	1	0	1
zumute	write	1	1	1	1	1	1	1	0	1
gewohnt	expect	0	1	1	1	0	0	1	0	1
beschuldigte	accuse	0	0	-1	-1	0	1	1	-1	-1
freistellen	exempt	0	0	-1	-1	0	0	1	0	0
auswirkende	drink	0	0	1	0	1	0	1	0	1
Debatten	debate	0	1	0	1	1	1	1	0	0
Razzien	raid	0	0	-1	-1	1	1	1	-1	1
entwurzelt	uproot	0	-1	-1	-1	0	1	0	-1	0
Verwurzelung	root	1	0	1	1	1	1	1	0	0
abzubauen	reduce	0	0	0	-1	1	1	1	-1	0
Aktionsbereiche	line	0	0	0	0	1	0	1	0	1
rekapitulieren	let	0	0	0	1	-1	0	1	0	0
Tierversuch	test	0	1	1	0	1	1	1	0	1
Standpunkten	position	0	0	0	1	0	1	1	0	0
Kommissionsentwurfs	draft	1	1	1	1	1	1	1	0	1
economy	know	1	1	1	0	1	1	1	0	1
Finanzpläne	plan	1	1	1	1	1	1	1	0	1
Schutzschirm	net	0	0	1	0	0	1	1	0	1
Hoheitsrechte	relinquish	0	1	1	1	-1	1	1	0	-1
Model	model	0	0	0	1	1	1	1	0	1
Preisstruktur	price	0	0	1	1	1	0	1	0	1
Belästigung	harass	0	-1	-1	-1	0	1	0	-1	0
Ratifizierungen	ratify	1	1	1	1	1	1	1	0	1
verständlich	understand	1	1	1	1	1	1	1	0	1
Stärke	power	1	0	0	0	0	0	1	0	1
Beschuldigte	accuse	0	0	-1	-1	0	1	1	-1	-1
Radio	radio	0	0	1	0	0	1	1	0	1
Begutachtung	evaluate	0	0	1	0	0	1	1	0	0
zurückgezogenen	withdraw	0	0	0	-1	0	1	1	0	0
endet	end	0	1	0	0	1	0	1	0	0
erhängt	hang	0	0	0	1	0	1	1	0	0
verschärfte	tighten	0	0	0	0	0	1	1	0	0
betraut	charge	-1	0	0	-1	1	1	1	-1	1
enden	end	0	1	0	0	1	0	1	0	0
entschuldige	apologize	0	1	0	0	-1	0	1	0	-1
wirkungsvoll	exhibit	0	0	0	0	1	1	1	0	1
Reformkurs	reform	1	1	0	1	0	1	1	0	1
konvergieren	converge	0	0	0	1	0	0	1	0	0
Anregungen	comment	0	0	0	0	0	1	1	0	1
abklären	clarify	0	1	1	1	1	1	1	0	1
Personennahverkehr	transport	0	1	0	1	1	1	1	0	0
entschuldigt	excuse	0	0	0	0	0	0	1	0	1
behördlich	exclude	0	0	-1	-1	0	1	1	0	0
schlafender	sleep	0	1	0	0	1	1	1	0	1
eingeschleppt	bring	0	0	1	1	0	0	1	0	0
EU-Mitgliedstaaten	group	0	0	0	1	1	0	1	0	1
RO	vote	0	0	0	1	1	1	1	0	0
herabsetzen	lower	-1	1	1	0	0	1	1	0	1
Rückfall	return	0	0	0	0	0	1	1	0	0
Telefongespräche	telephone	1	1	1	1	1	1	1	1	1
non	hinder	0	-1	0	-1	0	1	0	-1	0
ergänzenden	complement	1	1	0	1	1	1	-1	0	0
Zuwanderungsstrom	flow	0	0	0	0	0	0	1	0	0
hinwies	point	0	0	0	0	1	0	1	0	0
Ja-	vote	0	0	0	1	1	1	1	0	0
besichtigt	visit	1	1	1	1	1	1	1	1	1
erledigen	do	1	1	1	0	0	1	1	0	1
Wirtschaftsgrundlage	highlight	1	1	1	1	0	1	1	0	1
bekräftigte	reaffirm	1	1	1	1	1	1	1	0	1
spielen	play	1	1	1	1	1	1	1	0	1
weiterbehandelt	pursue	0	1	1	0	0	1	1	0	1
weiterbehandeln	further	1	1	1	1	0	1	1	0	1
lieben	love	1	1	1	1	1	1	1	1	1
Beauftragung	commission	1	1	1	1	1	1	1	1	1
stetigen	continue	1	1	1	1	1	0	1	0	1
Brandkatastrophen	fire	0	0	1	0	1	0	1	0	1
begraben	bury	1	1	0	0	-1	1	1	-1	-1
prompten	prompt	1	1	1	1	1	1	1	1	1
Gesetzentwurfs	draft	1	1	1	1	1	1	1	0	1
beliebige	hand	1	1	0	1	1	1	1	0	1
Senkungen	cut	0	0	0	-1	0	0	1	0	0
Steigerungen	increase	1	1	0	1	0	1	1	0	1
wiederaufgenommen	resume	1	1	1	1	1	1	1	0	1
naming	name	0	1	1	1	1	1	1	0	1
Dekret	decree	0	0	1	0	0	1	1	0	1
Kohärenz	line	0	0	0	0	1	0	1	0	1
Petition	petition	1	0	1	1	1	1	1	0	1
Wettlauf	race	0	0	0	0	1	1	1	0	1
Energiepaket	package	0	0	0	1	1	0	1	0	1
Scheu	hesitate	0	0	-1	0	-1	0	1	0	-1
anschauliches	tell	1	1	0	1	0	1	1	0	0
durchgängig	locate	0	1	0	1	1	1	1	0	0
Pluspunkte	score	1	1	1	0	1	1	1	0	1
Tarife	price	0	0	1	1	1	0	1	0	1
Terminus	term	1	1	0	1	1	1	0	0	0
gesorgt	provide	1	1	1	1	1	1	1	0	1
Grundgedanke	underlie	0	0	0	0	0	1	1	0	0
wiedereingezogen	retrieve	0	0	0	1	1	1	1	0	0
Pumpen	pump	0	0	0	1	1	1	1	0	1
liefert	provide	1	1	1	1	1	1	1	0	1
Quotenübertragung	transfer	0	0	0	0	0	1	1	0	0
Forschungsbemühungen	research	0	-1	1	1	1	1	1	0	1
verwoben	link	1	1	1	1	1	1	1	0	0
hinausgehende	transcend	0	1	0	1	0	1	1	0	0
Pacht	lease	1	1	1	0	1	1	1	0	1
Erinnerung	remind	1	1	1	1	0	1	1	0	0
liefern	provide	1	1	1	1	1	1	1	0	1
blind	blind	0	0	-1	-1	0	1	1	0	0
Geschacher	wrangle	0	-1	0	-1	0	1	1	0	1
widerspiegelte	reflect	0	0	0	0	0	0	1	0	0
inszeniert	orchestrate	1	1	1	1	1	1	1	0	1
gutgeschrieben	credit	1	0	1	1	1	1	1	1	1
Analysen	study	1	0	1	1	1	1	1	0	1
Zurschaustellung	display	0	0	0	1	0	0	1	0	0
aufheben	lift	0	0	1	1	0	1	1	0	1
Forschungsgruppen	research	0	-1	1	1	1	1	1	0	1
aufgenommenen	include	1	1	1	1	1	1	1	1	0
restriktiven	restrict	0	0	-1	-1	0	1	1	0	1
abgeliefert	deliver	1	1	1	1	0	1	1	0	1
beklagt	complain	0	0	0	0	0	1	1	0	1
durchdrücken	push	0	0	-1	-1	0	1	1	-1	0
ausgedient	seem	0	0	0	0	0	-1	0	0	0
Erreichte	achieve	1	1	1	1	1	1	1	0	1
normalisieren	normalize	0	0	0	1	0	1	1	0	0
Feuer	fire	0	0	1	0	1	0	1	0	1
Auftraggebern	contract	-1	0	-1	0	-1	-1	1	0	-1
schlecht	lose	0	0	0	-1	-1	1	1	0	-1
verlautbart	announce	1	1	1	1	1	1	1	0	1
bemerken	say	0	0	0	0	0	0	1	0	0
zurückgekommen	back	1	1	1	1	1	1	1	1	1
brach	break	0	0	-1	-1	1	1	1	0	1
Hilfestellung	help	1	1	0	1	0	1	1	1	0
Komplizen	abet	1	1	1	1	0	1	1	0	1
beimesse	attach	0	0	1	1	1	1	1	0	0
Abänderung	amend	1	1	1	1	1	1	1	0	1
eingrenzen	limit	0	0	0	-1	0	1	1	0	0
fortwährende	continue	1	1	1	1	1	0	1	0	1
Forschungsbeihilfen	research	0	-1	1	1	1	1	1	0	1
Forschungspolitik	research	0	-1	1	1	1	1	1	0	1
Nettosalden	balance	0	1	1	1	0	1	1	0	1
einnimmt	position	0	0	0	1	0	1	1	0	0
ergreift	take	1	1	1	0	1	1	1	0	1
vorgeherrscht	prevail	1	1	0	0	0	1	1	0	0
Entlohnung	pay	0	0	-1	0	0	-1	1	0	-1
Schreckens	banish	-1	-1	-1	-1	0	1	1	-1	1
Hopfen	hop	0	0	0	-1	0	0	0	-1	0
freigestellt	free	1	1	1	1	1	1	1	1	1
zurückzuziehen	withdraw	0	0	0	-1	0	1	1	0	0
kapituliert	surrender	0	-1	0	-1	-1	1	1	0	-1
Fahrplänen	map	0	0	0	0	0	1	1	0	1
Aneignung	acquire	1	1	1	1	1	1	1	0	1
hinweise	point	0	0	0	0	1	0	1	0	0
hinweist	point	0	0	0	0	1	0	1	0	0
beschädigte	damage	1	-1	0	-1	0	1	-1	-1	0
mitberatenden	wait	0	0	0	0	0	0	1	0	0
modifizierte	modify	0	0	0	0	0	1	1	0	0
Eheschließung	marry	1	1	1	1	1	1	1	1	1
lehne	reject	0	0	-1	-1	0	1	1	0	0
Splitterbomben	cluster	0	0	0	1	0	0	-1	0	0
Grenzkontrollen	border	0	0	0	0	0	0	0	0	0
untätig	sit	0	0	0	0	0	0	0	0	0
mitberatender	ask	0	0	0	0	1	1	1	0	0
mündeten	result	0	0	0	0	1	0	1	0	0
lehnt	reject	0	0	-1	-1	0	1	1	0	0
gemeinsame	share	1	1	1	0	1	1	1	0	1
aufgebaut	build	1	1	1	1	1	1	1	0	1
Ente	duck	0	-1	1	0	0	1	1	0	1
Devise	divide	0	-1	0	-1	0	1	0	-1	0
Futtermittelherstellung	manufacture	1	1	1	1	1	1	1	0	1
Stromrechnungen	bill	0	0	1	1	1	1	1	0	1
skizzieren	outline	1	1	1	1	1	1	1	0	1
vereinigtes	unite	1	1	0	1	0	1	1	1	0
nannten	mention	0	1	0	0	0	1	1	0	0
korrigierte	correct	0	0	0	1	0	1	1	0	0
Weg	route	0	0	0	0	0	1	1	0	0
abzuwägen	weigh	0	0	0	0	0	0	1	0	0
ausformuliert	word	0	1	0	0	0	0	1	0	0
perfekt	perfect	1	1	1	1	1	1	1	0	1
Neuorientierung	redirect	0	0	0	1	0	0	1	0	0
selbständige	own	0	1	1	1	1	1	1	0	1
Mitgliedern	rest	1	1	1	1	1	1	1	0	1
lesbar	read	0	0	1	0	1	0	1	0	1
Widersprüchen	conflict	0	0	0	-1	0	1	1	0	0
verlegen	move	0	0	0	1	0	1	1	0	0
raucht	smoke	0	0	1	-1	0	1	1	0	1
anzuerkennen	acknowledge	0	1	1	1	1	0	1	0	1
unverkennbar	account	0	0	0	0	0	1	1	0	0
Legalisierung	legalize	0	1	-1	-1	0	1	1	0	1
Arbeitsplatzabbau	cut	0	0	0	-1	0	0	1	0	0
versammeln	meet	0	1	1	1	1	1	1	0	1
Landesgrenzen	border	0	0	0	0	0	0	0	0	0
Weiterverarbeitung	process	0	0	1	1	1	1	1	0	0
versammelt	gather	0	0	0	1	1	1	1	0	0
jeher	be	0	1	0	0	0	0	1	0	1
Personalausstattung	staff	1	1	1	1	1	1	1	0	1
Russland	station	0	0	0	0	1	0	1	0	0
Wohltaten	benefit	1	1	0	1	1	1	1	1	1
wiedergefunden	found	1	1	1	1	1	1	1	1	1
offensten	open	1	1	1	1	0	0	1	0	1
Energiekennzeichnung	label	0	0	0	0	0	1	0	0	0
Ehrenplatz	pride	1	1	1	1	0	1	1	1	1
Vorhaltungen	lecture	0	1	1	1	1	1	1	0	1
Interessenskonflikte	conflict	0	0	0	-1	0	1	1	0	0
angebaut	grow	1	1	1	1	1	1	1	0	1
aufstrebenden	emerge	1	1	0	0	0	1	1	0	1
Bilanzen	account	0	0	0	0	0	1	1	0	0
überstimmt	down	0	0	0	0	0	0	1	0	0
aufstrebender	emerge	1	1	0	0	0	1	1	0	1
oberen	top	0	0	1	0	1	1	1	0	1
nackte	threaten	0	-1	-1	-1	0	1	1	-1	-1
Geldbuße	fine	0	1	1	1	1	1	1	1	1
attraktive	appeal	0	0	-1	-1	-1	1	1	0	0
schreien	shout	0	1	0	0	0	1	1	0	0
anzugleichen	line	0	0	0	0	1	0	1	0	1
Berufsbildungs-	train	1	1	1	1	1	1	1	1	1
gleichberechtigteren	equal	1	1	0	1	0	1	1	0	1
Ecke	corner	0	0	-1	-1	1	1	1	0	0
Krieges	conflict	0	0	0	-1	0	1	1	0	0
Handelszeitraum	trade	0	1	1	1	1	1	1	0	1
Wert	value	1	1	1	1	0	1	1	1	1
Sanktionsmechanismus	sanction	0	-1	-1	-1	0	1	1	0	1
Verabredung	date	0	0	1	0	1	0	1	0	1
Team	team	0	0	0	1	1	0	1	0	1
Werk	work	1	1	1	1	0	1	1	0	1
Anrainer	near	0	1	0	0	0	0	1	0	0
vertiefende	deepen	1	1	1	1	1	1	1	0	1
demütigend	humiliate	0	-1	-1	-1	0	1	0	-1	1
angeht	regard	1	1	1	1	1	1	1	1	1
Ehrenkodex	code	1	1	0	1	0	1	1	0	0
tickenden	tick	0	0	0	0	0	1	1	0	0
Berichterstattungen	report	0	0	-1	1	0	0	1	0	-1
versprechenden	promise	1	1	1	1	1	1	1	0	1
ausgebildetes	train	1	1	1	1	1	1	1	1	1
Organisationskomitee	organize	0	0	1	1	1	1	1	0	1
gleichbleibenden	sustain	0	1	1	1	1	1	1	1	1
Rückführungsrichtlinie	return	0	0	0	0	0	1	1	0	0
Sache	matter	0	0	0	-1	0	1	1	0	0
versprechender	promise	1	1	1	1	1	1	1	0	1
Fahrgast-Hochgeschwindigkeitsfahrzeugen	craft	1	1	1	1	1	1	1	0	1
Diversifizierung	diversify	0	0	0	0	1	1	1	0	0
Rückführung	return	0	0	0	0	0	1	1	0	0
europäische	single	0	0	0	-1	0	0	1	0	0
erpresserischen	blackmail	0	-1	-1	-1	0	1	0	-1	1
Anknüpfungspunkt	start	1	1	1	1	1	1	1	0	1
Entsendung	send	1	1	1	0	1	1	1	0	1
verhört	interrogate	0	0	0	-1	0	1	1	-1	1
Revisionen	review	0	0	0	1	0	1	1	0	0
erhalte	receive	1	1	1	0	1	1	1	0	1
überstürzt	rush	0	0	-1	-1	1	1	1	-1	0
transportiert	transport	0	1	0	1	1	1	1	0	0
Entwicklungsstand	develop	0	1	0	1	0	0	1	0	0
Finanzpakets	package	0	0	0	1	1	0	1	0	1
ungenügenden	lack	0	0	0	0	-1	1	1	0	-1
Instandsetzung	repair	0	1	0	1	1	1	1	0	1
entlarvt	expose	0	0	0	0	0	1	0	0	0
bereiten	end	0	1	0	0	1	0	1	0	0
bereitet	concern	1	-1	0	-1	0	1	1	-1	0
einbüßen	lose	0	0	0	-1	-1	1	1	0	-1
errungenen	achieve	1	1	1	1	1	1	1	0	1
herausgestrichen	highlight	1	1	1	1	0	1	1	0	1
Pilotprojekt	pilot	0	1	0	1	1	1	1	0	1
Zielwerte	target	0	0	0	1	0	0	0	0	0
abgeändert	amend	1	1	1	1	1	1	1	0	1
Änderungsrichtlinie	amend	1	1	1	1	1	1	1	0	1
Israel	visit	1	1	1	1	1	1	1	1	1
wiederkehren	return	0	0	0	0	0	1	1	0	0
besitze	have	1	1	1	0	0	1	1	0	1
ausgebildeten	train	1	1	1	1	1	1	1	1	1
einsetzten	refuse	0	0	-1	-1	0	1	1	-1	0
zusammengetan	join	1	1	1	1	1	1	1	1	1
möglich	can	0	0	0	0	0	1	1	0	1
besitzt	have	1	1	1	0	0	1	1	0	1
Treffen	meet	0	1	1	1	1	1	1	0	1
klärende	clarify	0	1	1	1	1	1	1	0	1
schwarzen	buck	0	0	-1	0	0	1	1	0	1
Frauensport	sport	1	0	1	1	1	1	1	0	1
automatischen	initiate	1	1	1	1	1	1	1	0	1
Haushaltsdebatten	debate	0	1	0	1	1	1	1	0	0
Verdrängung	exist	1	1	1	0	1	0	1	0	1
zueigen	make	0	0	0	1	0	0	1	0	0
bewaffnen	arm	0	0	0	-1	0	1	0	-1	0
europaweit	level	0	1	1	1	1	0	1	0	1
durchhalten	sustain	0	1	1	1	1	1	1	1	1
gerechte	equal	1	1	0	1	0	1	1	0	1
zugewiesene	allocate	0	1	1	1	1	1	1	0	1
Flug-	air	0	0	0	-1	0	1	0	0	0
anzustacheln	overthrow	-1	1	-1	-1	1	1	1	-1	1
Größenvorteilen	scale	0	0	0	0	0	0	1	0	0
Preisschocks	shock	0	0	0	-1	0	1	-1	-1	0
Entwicklungsniveau	level	0	1	1	1	1	0	1	0	1
Simbabwe	appoint	1	1	1	1	1	1	1	1	1
vielversprechende	promise	1	1	1	1	1	1	1	0	1
Pump	credit	1	0	1	1	1	1	1	1	1
gipfelten	culminate	1	1	0	0	0	1	1	0	0
Rückwürfen	discard	0	0	-1	-1	-1	1	1	0	-1
teilnahmen	attend	1	1	1	1	1	1	1	0	1
verdorben	spoil	0	-1	0	-1	-1	1	0	-1	-1
Touren	gear	0	0	0	1	1	1	0	0	0
Umweltschaden	damage	1	-1	0	-1	0	1	-1	-1	0
Solana	teach	0	1	1	1	1	1	1	0	1
Analyse	study	1	0	1	1	1	1	1	0	1
zurückgetretene	resign	0	0	0	0	-1	1	1	0	-1
Größenordnung	scale	0	0	0	0	0	0	1	0	0
Etikettierungsbestimmungen	label	0	0	0	0	0	1	0	0	0
Reisedokumente	travel	1	1	1	0	1	0	1	0	1
Starts	launch	1	1	1	1	1	1	1	0	1
Inverkehrbringens	market	0	0	0	1	1	1	1	0	1
Reisedokuments	travel	1	1	1	0	1	0	1	0	1
allererst	begin	1	1	1	1	0	1	1	0	1
wohnten	live	1	1	1	1	1	1	1	0	1
geschickt	send	1	1	1	0	1	1	1	0	1
Konstellationen	set	0	0	1	1	1	1	1	0	1
blutet	bleed	0	-1	0	-1	0	0	0	0	1
überwindende	overcome	0	1	-1	0	1	0	1	0	1
unglaublich	amaze	0	-1	0	-1	0	1	0	-1	0
sogenannte	call	0	0	1	1	0	1	1	0	1
Nahrungsmittelvorräten	stock	0	0	1	1	1	1	1	0	1
Einlenken	exhaust	0	0	0	-1	-1	1	1	0	-1
gegenseitige	understand	1	1	1	1	1	1	1	0	1
implizieren	imply	1	1	1	1	1	1	1	0	1
Granaten	shell	0	-1	-1	-1	1	1	-1	-1	1
verbal	word	0	1	0	0	0	0	1	0	0
wahres	ignite	0	0	0	1	0	0	0	0	0
Monitoring-	monitor	0	1	1	1	1	0	1	0	0
wahren	maintain	1	0	1	1	0	1	1	0	1
Vetorecht	veto	0	0	-1	-1	1	1	1	-1	1
versicherte	assure	1	1	1	1	1	1	1	1	1
Verkaufen	sell	0	0	0	0	1	1	1	0	1
Nachgiebigkeit	compromise	0	-1	0	-1	-1	1	0	0	0
umgeformt	transform	1	1	0	1	0	1	1	1	0
Petitum	request	0	0	1	0	1	1	1	0	1
federführende	lead	0	1	1	1	1	0	1	0	1
AIDS-Waisen	orphan	0	-1	1	1	0	0	1	0	1
bereuen	regret	-1	0	-1	-1	-1	-1	1	0	-1
Vorbereitungsarbeiten	work	1	1	1	1	0	1	1	0	1
misslingen	fail	0	0	-1	-1	-1	0	1	-1	-1
Sanktionsliste	sanction	0	-1	-1	-1	0	1	1	0	1
Rechtswege	channel	0	0	0	0	0	0	1	0	0
verzehren	eat	0	1	1	-1	1	1	1	0	1
ausschließlichen	cap	0	0	1	0	1	0	1	0	1
angerechnet	count	0	0	1	1	1	1	1	0	1
Referenden	vote	0	0	0	1	1	1	1	0	0
wählte	choose	1	1	1	1	1	1	1	1	1
sterbende	die	0	1	0	-1	-1	1	1	0	-1
handels-	trade	0	1	1	1	1	1	1	0	1
Drogenschmuggel	smuggle	0	0	-1	-1	1	1	0	-1	1
begannen	begin	1	1	1	1	0	1	1	0	1
variable	vary	0	0	1	0	1	0	1	0	0
verunreinigen	contaminate	0	-1	0	-1	0	1	-1	0	0
Stellenbesetzung	staff	1	1	1	1	1	1	1	0	1
Etikettierung	label	0	0	0	0	0	1	0	0	0
starb	die	0	1	0	-1	-1	1	1	0	-1
stark	major	0	1	0	0	1	1	1	0	1
Raumordnung	plan	1	1	1	1	1	1	1	0	1
zusammengestrichen	cut	0	0	0	-1	0	0	1	0	0
start	package	0	0	0	1	1	0	1	0	1
funktionstüchtig	function	0	1	0	1	1	1	1	0	0
starr	fix	0	1	0	1	0	1	1	0	1
erdenken	devise	1	1	1	1	1	1	1	0	1
Interessenträger	influence	0	0	0	0	0	1	1	0	0
prophezeit	predict	0	1	0	0	0	1	1	0	0
Warnsystem	warn	0	1	0	1	0	1	1	0	0
Feuern	fire	0	0	1	0	1	0	1	0	1
Budgetrechte	tread	0	-1	0	-1	0	0	0	0	0
Feuers	fire	0	0	1	0	1	0	1	0	1
ausgegebene	spend	0	1	0	0	0	0	1	0	0
Telefongesprächen	telephone	1	1	1	1	1	1	1	1	1
kurzfristigen	term	1	1	0	1	1	1	0	0	0
prophezeie	predict	0	1	0	0	0	1	1	0	0
Kennzeichnung	label	0	0	0	0	0	1	0	0	0
Verfolgung	pursue	0	1	1	0	0	1	1	0	1
gleitenden	slide	0	0	0	-1	0	1	0	0	0
Verkehrs	transport	0	1	0	1	1	1	1	0	0
moderat	moderate	1	0	0	1	0	1	1	0	0
Weltpolizei	police	0	0	0	-1	0	1	1	0	0
Konzernen	group	0	0	0	1	1	0	1	0	1
herausgearbeiteten	identify	0	0	-1	0	0	1	1	0	0
unveränderlich	stone	0	0	0	-1	0	1	1	0	1
ungelösten	solve	0	1	0	0	1	0	1	0	1
Presseberichte	press	0	1	0	-1	0	1	1	-1	0
ungelöstes	resolve	-1	1	0	0	1	-1	1	0	1
Vermittlungsbemühungen	mediate	1	1	1	1	1	1	1	0	1
Erfindung	invent	0	1	1	1	1	1	1	0	1
erfolgreich	succeed	0	1	1	0	1	1	1	0	1
durchzieht	run	0	1	1	1	1	1	1	0	1
riesig	please	0	0	0	1	0	1	1	1	0
Einwanderungsströmen	flow	0	0	0	0	0	0	1	0	0
Kofinanzierung	finance	1	1	1	1	1	1	1	0	1
augenfällig	strike	1	1	0	0	0	1	1	0	0
eingeforderten	reimburse	1	1	1	1	1	1	1	0	1
Nettobeitrags	net	0	0	1	0	0	1	1	0	1
Gremiums	board	0	0	1	0	1	1	1	0	1
Stücks	piece	0	0	0	0	1	0	1	0	1
Jahresende	end	0	1	0	0	1	0	1	0	0
blühen	flourish	1	1	0	1	1	1	1	0	1
unzufrieden	satisfy	1	1	0	1	0	1	1	1	1
Stücke	piece	0	0	0	0	1	0	1	0	1
bekundeten	express	-1	0	0	0	1	0	1	0	0
Finanzsystems	finance	1	1	1	1	1	1	1	0	1
hinschauen	look	0	1	1	0	0	0	1	0	1
Tatverdächtigen	suspect	-1	0	-1	0	-1	-1	1	0	-1
statuieren	set	0	0	1	1	1	1	1	0	1
Unterrichts	teach	0	1	1	1	1	1	1	0	1
Werbespots	spot	0	1	0	-1	1	1	1	-1	1
Aufbruch	start	1	1	1	1	1	1	1	0	1
Energieeinsparung	save	1	1	1	1	0	1	1	1	1
Soldaten	force	0	0	0	-1	0	1	0	-1	0
Verkehrsmaßnahmen	transport	0	1	0	1	1	1	1	0	0
bereitwilliger	commit	-1	-1	0	0	-1	0	1	0	-1
Neuordnung	restructure	1	1	0	1	1	1	1	0	1
EU-Verhaltenskodex	code	1	1	0	1	0	1	1	0	0
Übels	root	1	0	1	1	1	1	1	0	0
leite	pass	0	1	0	0	0	1	1	0	0
Schiffsregister	register	1	0	1	0	1	1	1	0	0
hindurch	stage	0	1	1	1	1	0	1	0	1
schrittweises	phase	0	0	0	1	1	0	1	0	0
volle	complete	1	1	1	1	1	1	1	0	1
Pakets	package	0	0	0	1	1	0	1	0	1
Schlußstrich	line	0	0	0	0	1	0	1	0	1
zusammenzutragen	gather	0	0	0	1	1	1	1	0	0
Narben	scar	0	-1	-1	-1	0	1	-1	-1	0
schrittweisen	phase	0	0	0	1	1	0	1	0	0
abzukoppeln	separate	0	0	0	-1	0	1	1	-1	0
Pakete	package	0	0	0	1	1	0	1	0	1
unschlüssig	mind	0	0	1	1	1	1	1	0	1
Inhaftierung	arrest	0	0	-1	-1	1	1	1	-1	1
auszusuchen	choose	1	1	1	1	1	1	1	1	1
Aufnahmestaats	host	1	1	1	1	1	1	1	0	1
Startlöchern	grind	0	0	0	-1	0	0	1	0	1
verworrenen	confuse	0	0	0	-1	0	1	1	-1	0
mildernde	mitigate	0	0	0	0	0	0	1	0	0
Überbrückungshaushalt	bridge	0	0	0	1	0	1	1	0	1
beruhenden	base	0	1	1	1	1	1	1	0	1
fasste	take	1	1	1	0	1	1	1	0	1
könnten	can	0	0	0	0	0	1	1	0	1
Korruption	corrupt	1	-1	0	-1	0	1	0	-1	0
unterstützend	support	1	1	1	1	0	1	1	1	1
ausgeschlossen	exclude	0	0	-1	-1	0	1	1	0	0
zuzuwenden	turn	0	0	0	0	0	0	1	0	0
anzusiedeln	locate	0	1	0	1	1	1	1	0	0
Steuereinnahmen	tax	0	0	1	1	1	0	1	0	1
Baumkurren	beam	0	0	0	-1	0	0	-1	0	0
Stoffen	handle	0	1	0	1	0	1	1	0	1
Kaufentscheidungen	purchase	1	1	1	1	1	1	0	0	1
Bekleidungssektors	clothe	0	-1	0	-1	0	1	0	1	1
Rentner	retire	0	1	1	0	-1	1	1	0	-1
diskutierenden	discuss	1	1	0	1	1	1	1	0	1
Binnenmarktes	single	0	0	0	-1	0	0	1	0	0
erschüttert	shake	0	0	0	0	0	0	1	0	-1
geendet	end	0	1	0	0	1	0	1	0	0
verhielten	behave	0	1	0	0	0	1	1	0	1
Mangels	lack	0	0	0	0	-1	1	1	0	-1
undurchsichtig	obscure	0	0	0	1	0	1	1	0	0
Entlastungen	discharge	0	0	0	-1	0	1	1	0	0
Umschulungsmaßnahmen	embark	1	1	0	1	1	1	1	0	1
Aussagekraft	account	0	0	0	0	0	1	1	0	0
gipfelte	culminate	1	1	0	0	0	1	1	0	0
leisteten	team	0	0	0	1	1	0	1	0	1
Produkte	produce	1	1	1	1	0	1	1	0	1
Pilotprogramm	pilot	0	1	0	1	1	1	1	0	1
Fährschiffe	ferry	0	0	0	1	1	1	0	-1	1
zurückgezogen	withdraw	0	0	0	-1	0	1	1	0	0
erforderten	require	0	1	1	0	1	1	1	0	0
krassen	contrast	0	0	0	0	0	0	1	0	0
betäubt	stun	0	-1	0	-1	0	1	0	-1	0
krassem	contrast	0	0	0	0	0	0	1	0	0
