pl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
złożonych	make	0	0	0	1	0	0	1	0	0
chcieli	want	1	0	1	0	0	1	1	0	1
dotyczyłyby	affect	1	0	0	0	0	1	1	0	0
pokoleniu	have	1	1	1	0	0	1	1	0	1
urzeczywistni	make	0	0	0	1	0	0	1	0	0
spowolniona	slow	0	-1	0	-1	0	1	-1	0	0
kowadłem	place	0	0	1	1	1	1	1	0	1
opisane	describe	0	0	0	1	0	0	1	0	1
dokładny	detail	0	0	0	1	0	0	1	0	0
Bericht	report	0	0	-1	1	0	0	1	0	-1
opisana	describe	0	0	0	1	0	0	1	0	1
Kopenhagi	accord	1	0	0	1	0	1	1	0	1
opisano	describe	0	0	0	1	0	0	1	0	1
odrzucać	reject	0	0	-1	-1	0	1	1	0	0
przyjemną	enjoy	1	1	1	1	1	1	1	1	1
dokładne	detail	0	0	0	1	0	0	1	0	0
zwiększamy	be	0	1	0	0	0	0	1	0	1
niniejsze	present	1	1	1	1	1	1	1	0	1
opisany	describe	0	0	0	1	0	0	1	0	1
dysponowało	have	1	1	1	0	0	1	1	0	1
omamić	be	0	1	0	0	0	0	1	0	1
jaw	light	0	1	1	1	0	1	1	0	1
zbijają	be	0	1	0	0	0	0	1	0	1
założyliśmy	have	1	1	1	0	0	1	1	0	1
dysponowała	have	1	1	1	0	0	1	1	0	1
wyłożone	down	0	0	0	0	0	0	1	0	0
podważał	argue	0	0	1	1	0	1	1	0	0
jak	like	1	1	1	1	0	1	1	1	1
zwleka	hesitate	0	0	-1	0	-1	0	1	0	-1
dyskusjach	debate	0	1	0	1	1	1	1	0	0
uzupełnienia	supplement	1	1	1	1	1	1	1	0	1
reformować	reform	1	1	0	1	0	1	1	0	1
parkingowych	park	0	0	0	0	0	1	1	0	1
uzupełnienie	complement	1	1	0	1	1	1	-1	0	0
rozmyślania	be	0	1	0	0	0	0	1	0	1
odróżnianie	distinguish	1	0	0	1	0	1	1	1	0
odrzucał	reject	0	0	-1	-1	0	1	1	0	0
schroniła	take	1	1	1	0	1	1	1	0	1
doświadczeni	experience	0	1	-1	0	-1	0	1	0	-1
naftowej	invest	1	1	1	1	1	1	1	1	1
odbiera	take	1	1	1	0	1	1	1	0	1
włokiem	beam	0	0	0	-1	0	0	-1	0	0
ofertami	bid	0	0	1	0	1	1	1	0	1
wstępna	account	0	0	0	0	0	1	1	0	0
śmiertelne	live	1	1	1	1	1	1	1	0	1
wstępne	open	1	1	1	1	0	0	1	0	1
ołtarzu	sacrifice	1	0	1	-1	-1	1	1	0	0
życzmy	wish	1	1	1	1	1	1	1	1	1
deszczowej	harvest	1	1	1	1	1	1	1	0	1
odniesień	refer	1	1	1	1	0	1	1	1	1
podważać	undermine	0	-1	0	-1	0	1	0	0	0
malała	decrease	0	0	0	-1	-1	0	1	0	-1
ekonomiści	show	1	1	1	0	1	0	1	0	0
ukrywanie	hide	0	0	0	0	0	0	1	1	0
nazywał	call	0	0	1	1	0	1	1	0	1
ustalane	set	0	0	1	1	1	1	1	0	1
ukrywania	hide	0	0	0	0	0	0	1	1	0
ustalana	set	0	0	1	1	1	1	1	0	1
ustalano	set	0	0	1	1	1	1	1	0	1
pochłonąć	absorb	1	1	1	1	1	1	1	0	1
malejącym	descend	0	0	0	0	1	0	1	0	0
ustosunkuję	address	1	1	0	1	1	1	1	0	1
ustalany	decide	1	1	1	1	0	1	1	0	1
PR	make	0	0	0	1	0	0	1	0	0
przestrzegać	respect	1	1	1	1	0	1	1	1	1
zachwiać	undermine	0	-1	0	-1	0	1	0	0	0
zarządzających	manage	1	1	1	1	1	1	1	0	1
wyważona	balance	0	1	1	1	0	1	1	0	1
osądzić	judge	0	0	-1	-1	1	1	1	-1	0
odbędziemy	have	1	1	1	0	0	1	1	0	1
uzupełnianie	complement	1	1	0	1	1	1	-1	0	0
uzupełniania	supplement	1	1	1	1	1	1	1	0	1
zmusiliśmy	force	0	0	0	-1	0	1	0	-1	0
PL	debate	0	1	0	1	1	1	1	0	0
stuprocentowo	try	0	1	1	0	1	1	1	0	0
wersji	form	1	1	1	1	1	1	1	0	1
pogłębienia	deepen	1	1	1	1	1	1	1	0	1
nazywać	call	0	0	1	1	0	1	1	0	1
nierobienie	do	1	1	1	0	0	1	1	0	1
czekano	await	0	0	0	0	1	1	1	0	0
monetarnych	be	0	1	0	0	0	0	1	0	1
pochłonął	claim	1	1	1	0	1	1	1	0	1
padali	have	1	1	1	0	0	1	1	0	1
zniszczona	destroy	0	-1	-1	-1	0	1	0	-1	0
zniszczone	destroy	0	-1	-1	-1	0	1	0	-1	0
pogłębieniu	deepen	1	1	1	1	1	1	1	0	1
usuwają	remove	-1	1	-1	-1	1	0	1	-1	0
zniszczono	be	0	1	0	0	0	0	1	0	1
wytwórców	term	1	1	0	1	1	1	0	0	0
znajdę	do	1	1	1	0	0	1	1	0	1
arsenałów	exist	1	1	1	0	1	0	1	0	1
zaangażowało	involve	0	0	0	0	1	1	1	0	0
omówiłam	have	1	1	1	0	0	1	1	0	1
odcięta	cut	0	0	0	-1	0	0	1	0	0
zaangażowała	have	1	1	1	0	0	1	1	0	1
osądził	be	0	1	0	0	0	0	1	0	1
odcięte	cut	0	0	0	-1	0	0	1	0	0
odcięty	cut	0	0	0	-1	0	0	1	0	0
pałeczkę	step	1	1	1	1	1	0	1	0	1
zaangażowały	involve	0	0	0	0	1	1	1	0	0
zalecaniem	go	0	0	0	0	0	0	1	0	0
przyniosłem	have	1	1	1	0	0	1	1	0	1
ośmielili	dare	1	1	1	0	1	1	1	0	1
znajdą	be	0	1	0	0	0	0	1	0	1
koptyjskiej	be	0	1	0	0	0	0	1	0	1
artykułu	rule	1	1	1	1	1	1	1	0	1
wstępną	remark	0	0	0	0	0	1	1	-1	1
wybija	stand	0	1	1	0	1	0	1	0	0
conclude	conclude	1	1	1	1	0	1	1	0	1
tyczyłoby	position	0	0	0	1	0	1	1	0	0
nowelizacji	amend	1	1	1	1	1	1	1	0	1
artykuły	rule	1	1	1	1	1	1	1	0	1
przełamana	break	0	0	-1	-1	1	1	1	0	1
wolnorynkowej	free	1	1	1	1	1	1	1	1	1
podważam	do	1	1	1	0	0	1	1	0	1
układem	leave	0	0	0	0	0	0	1	-1	0
wymagającym	demand	0	0	1	1	0	1	1	0	1
zmusili	force	0	0	0	-1	0	1	0	-1	0
adoptowania	adopt	1	1	1	1	1	1	1	0	1
zwiększymy	increase	1	1	0	1	0	1	1	0	1
gąszczu	be	0	1	0	0	0	0	1	0	1
porówna	compare	0	0	0	0	0	1	1	0	0
wwóz	import	0	0	0	1	1	1	1	0	1
przysłużyć	help	1	1	0	1	0	1	1	1	0
ogólnej	total	0	0	0	0	0	1	1	0	0
przyjąłby	be	0	1	0	0	0	0	1	0	1
spójrzmy	look	0	1	1	0	0	0	1	0	1
przemowie	shop	0	0	1	0	1	1	1	0	1
jedzenia	eat	0	1	1	-1	1	1	1	0	1
niezawinionych	have	1	1	1	0	0	1	1	0	1
toczącym	be	0	1	0	0	0	0	1	0	1
hazardowym	gamble	0	0	1	0	0	1	1	0	1
opatrywanie	assemble	0	0	1	1	1	1	1	0	1
pełnoetatową	be	0	1	0	0	0	0	1	0	1
spędzali	spend	0	1	0	0	0	0	1	0	0
kpina	make	0	0	0	1	0	0	1	0	0
poświęconej	devote	1	1	1	1	0	1	1	0	1
oszustw	combat	0	0	0	-1	0	1	1	0	0
opisaną	describe	0	0	0	1	0	0	1	0	1
odrzucam	reject	0	0	-1	-1	0	1	1	0	0
nagminnego	matter	0	0	0	-1	0	1	1	0	0
Zarządzającej	board	0	0	1	0	1	1	1	0	1
porozumieliśmy	agree	0	0	0	0	1	1	1	0	1
morderstwami	murder	0	-1	-1	-1	-1	1	0	-1	-1
mianowanym	appoint	1	1	1	1	1	1	1	1	1
udzieliłem	give	0	1	1	0	0	0	1	0	1
dokładną	detail	0	0	0	1	0	0	1	0	0
oddzielanie	separate	0	0	0	-1	0	1	1	-1	0
spopularyzowane	do	1	1	1	0	0	1	1	0	1
stworzyłaby	provide	1	1	1	1	1	1	1	0	1
skupiło	issue	0	0	0	1	0	1	1	0	0
przechwycili	have	1	1	1	0	0	1	1	0	1
skupiła	have	1	1	1	0	0	1	1	0	1
odciętą	cut	0	0	0	-1	0	0	1	0	0
pragniemy	want	1	0	1	0	0	1	1	0	1
płacowymi	wage	0	1	1	1	1	1	1	0	1
oddziela	be	0	1	0	0	0	0	1	0	1
zobowiązywałyby	oblige	1	1	1	1	0	1	1	1	0
natarcia	assault	0	-1	-1	-1	0	1	1	-1	0
wyborem	choose	1	1	1	1	1	1	1	1	1
roamingu	roam	0	1	1	0	0	1	1	0	1
doświadczonemu	hit	0	-1	-1	-1	0	1	0	-1	0
nazywam	call	0	0	1	1	0	1	1	0	1
financewatch.org	be	0	1	0	0	0	0	1	0	1
udać	go	0	0	0	0	0	0	1	0	0
zniszczoną	explode	0	0	0	-1	0	0	0	0	0
interweniował	intervene	0	0	0	-1	0	1	1	0	1
muzułmańskiej	be	0	1	0	0	0	0	1	0	1
wskazujemy	point	0	0	0	0	1	0	1	0	0
procentowy	rate	0	1	0	1	0	0	1	0	0
przerzucą	pass	0	1	0	0	0	1	1	0	0
dopatrywać	see	1	1	1	1	1	1	1	0	1
powitałam	notice	1	1	1	0	1	1	1	0	0
ryzykujemy	risk	-1	0	-1	0	-1	0	1	0	-1
procentowa	set	0	0	1	1	1	1	1	0	1
kochają	love	1	1	1	1	1	1	1	1	1
zrobiliście	do	1	1	1	0	0	1	1	0	1
ugiąć	bow	0	0	0	0	0	1	1	0	0
karane	punish	0	0	-1	-1	0	1	1	-1	-1
okolicznościom	try	0	1	1	0	1	1	1	0	0
podobno	be	0	1	0	0	0	0	1	0	1
karana	punish	0	0	-1	-1	0	1	1	-1	-1
wiązałaby	develop	0	1	0	1	0	0	1	0	0
podobna	like	1	1	1	1	0	1	1	1	1
karani	punish	0	0	-1	-1	0	1	1	-1	-1
osiągały	be	0	1	0	0	0	0	1	0	1
będącego	be	0	1	0	0	0	0	1	0	1
podobny	line	0	0	0	0	1	0	1	0	1
zagrożoną	risk	-1	0	-1	0	-1	0	1	0	-1
planowanym	plan	1	1	1	1	1	1	1	0	1
osiągała	reach	0	1	0	0	0	1	1	0	0
superlatywach	report	0	0	-1	1	0	0	1	0	-1
zarekomendowała	recommend	1	1	1	1	1	1	1	1	1
karany	punish	0	0	-1	-1	0	1	1	-1	-1
wysłuchaniem	hear	0	1	0	0	1	1	1	0	0
rozwojowym	support	1	1	1	1	0	1	1	1	1
należące	belong	1	0	1	1	1	1	1	0	0
pożyczonych	borrow	0	0	1	0	1	1	1	0	0
pogłębianiu	deepen	1	1	1	1	1	1	1	0	1
współgrać	hand	1	1	0	1	1	1	1	0	1
musiano	have	1	1	1	0	0	1	1	0	1
uporamy	deal	0	0	0	0	0	0	0	0	0
funkcjonowali	operate	1	1	1	1	1	1	1	0	1
pogłębianie	deepen	1	1	1	1	1	1	1	0	1
rozumianych	understand	1	1	1	1	1	1	1	0	1
pogłębiania	deepen	1	1	1	1	1	1	1	0	1
skazywać	condemn	0	0	-1	-1	0	1	1	0	0
umożliwiającej	enable	1	1	0	1	1	1	1	1	0
obstawał	confirm	1	1	1	1	1	1	1	0	1
zostają	be	0	1	0	0	0	0	1	0	1
budziły	be	0	1	0	0	0	0	1	0	1
rasowych	race	0	0	0	0	1	1	1	0	1
Chińczycy	be	0	1	0	0	0	0	1	0	1
zagładę	plot	0	0	0	-1	0	1	1	0	0
budziło	have	1	1	1	0	0	1	1	0	1
bazującym	base	0	1	1	1	1	1	1	0	1
rozstrzygających	reach	0	1	0	0	0	1	1	0	0
komplikujmy	make	0	0	0	1	0	0	1	0	0
eksportującym	export	0	0	1	0	1	1	1	0	1
przystanie	agree	0	0	0	0	1	1	1	0	1
budziła	be	0	1	0	0	0	0	1	0	1
generująca	generate	0	0	1	1	1	1	1	0	1
zaprzepaszczone	lose	0	0	0	-1	-1	1	1	0	-1
zakupów	purchase	1	1	1	1	1	1	0	0	1
słuchając	listen	0	1	1	1	0	0	1	0	1
zaprzepaszczona	miss	1	1	0	0	-1	1	1	0	-1
przejrzeliśmy	have	1	1	1	0	0	1	1	0	1
zaprzepaszczono	be	0	1	0	0	0	0	1	0	1
ostudziły	sort	0	0	0	1	0	1	1	0	0
zdjęły	question	0	0	1	1	1	1	1	0	1
górnictwie	mine	0	0	0	1	0	1	1	0	0
pies	dog	0	-1	1	1	0	1	1	-1	1
zaprzepaszczony	squander	0	-1	1	1	1	1	1	-1	1
realizacji	achieve	1	1	1	1	1	1	1	0	1
zagroziłoby	endanger	1	-1	0	-1	0	1	0	0	0
listopadowym	adopt	1	1	1	1	1	1	1	0	1
znajdująca	have	1	1	1	0	0	1	1	0	1
obstawać	insist	0	0	1	0	0	1	1	0	1
badał	examine	1	1	0	1	0	1	1	0	0
realizacja	achieve	1	1	1	1	1	1	1	0	1
przysłuchuję	listen	0	1	1	1	0	0	1	0	1
tworząc	create	1	1	0	1	1	1	1	0	0
przysłuchują	be	0	1	0	0	0	0	1	0	1
stosującego	state	0	1	1	1	0	1	1	0	0
tyłu	back	1	1	1	1	1	1	1	1	1
położonych	locate	0	1	0	1	1	1	1	0	0
znajdujący	be	0	1	0	0	0	0	1	0	1
stratami	damage	1	-1	0	-1	0	1	-1	-1	0
pokażmy	let	0	0	0	1	-1	0	1	0	0
sprawozdawcom-cieniom	shadow	0	0	0	0	0	1	1	0	0
badań	research	0	-1	1	1	1	1	1	0	1
miałbym	have	1	1	1	0	0	1	1	0	1
podany	give	0	1	1	0	0	0	1	0	1
wziąłem	take	1	1	1	0	1	1	1	0	1
podane	give	0	1	1	0	0	0	1	0	1
sukcesie	term	1	1	0	1	1	1	0	0	0
zamach	attack	0	-1	-1	-1	1	1	0	-1	0
podana	give	0	1	1	0	0	0	1	0	1
REPORT	report	0	0	-1	1	0	0	1	0	-1
podano	be	0	1	0	0	0	0	1	0	1
cierpieniem	suffer	-1	1	-1	0	-1	-1	1	0	-1
zbierając	collect	1	1	1	1	1	1	1	0	1
wysyłkową	distance	0	0	0	0	0	1	1	0	0
przelotów	air	0	0	0	-1	0	1	0	0	0
Ventotene	wish	1	1	1	1	1	1	1	1	1
sprostały	have	1	1	1	0	0	1	1	0	1
uprowadzonych	abduct	0	-1	-1	-1	0	1	0	-1	1
zasiadającym	sit	0	0	0	0	0	0	0	0	0
oprocentowaniu	rate	0	1	0	1	0	0	1	0	0
ratował	rescue	1	1	1	1	1	1	1	1	1
przyniosłaby	be	0	1	0	0	0	0	1	0	1
kluczem	hold	0	1	1	1	1	1	1	0	1
wymógł	have	1	1	1	0	0	1	1	0	1
oprocentowania	rate	0	1	0	1	0	0	1	0	0
sprostała	have	1	1	1	0	0	1	1	0	1
oprocentowanie	rate	0	1	0	1	0	0	1	0	0
przystąpieniem	join	1	1	1	1	1	1	1	1	1
zażąda	demand	0	0	1	1	0	1	1	0	1
sugerowany	suggest	1	1	1	1	0	1	1	0	1
wsadzani	involve	0	0	0	0	1	1	1	0	0
finansowymi	finance	1	1	1	1	1	1	1	0	1
wnioskowałem	request	0	0	1	0	1	1	1	0	1
rozwiązaniem	be	0	1	0	0	0	0	1	0	1
traktują	be	0	1	0	0	0	0	1	0	1
opłata	charge	-1	0	0	-1	1	1	1	-1	1
skorzystali	have	1	1	1	0	0	1	1	0	1
włączane	be	0	1	0	0	0	0	1	0	1
traktuję	take	1	1	1	0	1	1	1	0	1
odzyskało	release	0	0	0	1	0	1	1	1	1
sugerowano	suggest	1	1	1	1	0	1	1	0	1
znikania	disappear	0	0	0	0	0	0	1	0	0
opłaty	charge	-1	0	0	-1	1	1	1	-1	1
poświęconych	devote	1	1	1	1	0	1	1	0	1
sugerowane	suggest	1	1	1	1	0	1	1	0	1
udźwignięcia	shoulder	0	0	0	0	0	1	1	0	1
pozostawiania	leave	0	0	0	0	0	0	1	-1	0
udźwignięcie	shoulder	0	0	0	0	0	1	1	0	1
podlegali	subject	0	0	1	1	0	1	1	0	1
ekipy	team	0	0	0	1	1	0	1	0	1
produkowaniu	produce	1	1	1	1	0	1	1	0	1
terroryzmowi	fight	-1	0	-1	-1	0	0	1	0	-1
omawianą	discuss	1	1	0	1	1	1	1	0	1
produkowania	produce	1	1	1	1	0	1	1	0	1
produkowanie	produce	1	1	1	1	0	1	1	0	1
klimatycznego	change	0	1	0	1	0	1	1	0	1
przeglądem	review	0	0	0	1	0	1	1	0	0
udało	have	1	1	1	0	0	1	1	0	1
znajdującą	be	0	1	0	0	0	0	1	0	1
uczyniłaby	make	0	0	0	1	0	0	1	0	0
połączenia	link	1	1	1	1	1	1	1	0	0
modyfikacji	modify	0	0	0	0	0	1	1	0	0
destabilizuje	be	0	1	0	0	0	0	1	0	1
wysuwane	forward	1	1	0	1	1	1	1	0	1
realizacją	achieve	1	1	1	1	1	1	1	0	1
zbliżenie	bring	0	0	1	1	0	0	1	0	0
realizację	implement	1	1	1	1	1	1	1	0	1
omówimy	discuss	1	1	0	1	1	1	1	0	1
wysuwany	forward	1	1	0	1	1	1	1	0	1
chwaląc	praise	1	1	1	1	1	1	1	1	1
niemożliwość	lack	0	0	0	0	-1	1	1	0	-1
szkoleniami	train	1	1	1	1	1	1	1	1	1
nadużycie	abuse	1	-1	-1	-1	0	1	1	-1	-1
zaprzepaszczoną	miss	1	1	0	0	-1	1	1	0	-1
krańcu	edge	0	0	0	0	0	0	1	0	0
cenników	scale	0	0	0	0	0	0	1	0	0
drogowymi	time	0	0	1	0	1	0	1	0	1
apelujące	study	1	0	1	1	1	1	1	0	1
mawiają	say	0	0	0	0	0	0	1	0	0
mieszkającej	live	1	1	1	1	1	1	1	0	1
blokowany	block	0	0	-1	-1	0	1	1	0	-1
opłukiwała	ship	1	0	1	1	0	1	1	0	1
zostaje	be	0	1	0	0	0	0	1	0	1
narażały	put	1	1	1	0	1	1	1	0	1
uchwaliliśmy	have	1	1	1	0	0	1	1	0	1
umocowania	power	1	0	0	0	0	0	1	0	1
umocowanie	mandate	0	0	1	1	0	1	1	0	1
blokowana	block	0	0	-1	-1	0	1	1	0	-1
blokowane	block	0	0	-1	-1	0	1	1	0	-1
wybieramy	choose	1	1	1	1	1	1	1	1	1
Dopisałam	divorce	-1	0	-1	-1	-1	1	1	-1	-1
zmniejszaniu	reduce	0	0	0	-1	1	1	1	-1	0
zmniejszanie	reduce	0	0	0	-1	1	1	1	-1	0
oskarżono	be	0	1	0	0	0	0	1	0	1
Włoskiej	further	1	1	1	1	0	1	1	0	1
zmniejszania	reduce	0	0	0	-1	1	1	1	-1	0
problem	issue	0	0	0	1	0	1	1	0	0
badawczo-rozwojowych	research	0	-1	1	1	1	1	1	0	1
nadużyciu	abuse	1	-1	-1	-1	0	1	1	-1	-1
ustnymi	interpret	0	0	1	0	1	1	1	0	1
rzemiosła	craft	1	1	1	1	1	1	1	0	1
kształtowana	shape	1	1	0	1	1	1	1	0	0
robót	work	1	1	1	1	0	1	1	0	1
zbliżającej	come	0	1	0	0	0	0	1	0	0
zamieszczonych	make	0	0	0	1	0	0	1	0	0
Kallasa	intend	0	0	0	1	0	1	1	0	1
omawiane	discuss	1	1	0	1	1	1	1	0	1
wymienienie	mention	0	1	0	0	0	1	1	0	0
przetestowanych	test	0	1	1	0	1	1	1	0	1
entuzjazmem	deal	0	0	0	0	0	0	0	0	0
spodziewamy	expect	0	1	1	1	0	0	1	0	1
ryzyka	risk	-1	0	-1	0	-1	0	1	0	-1
omawiano	discuss	1	1	0	1	1	1	1	0	1
zaniechać	stop	0	0	0	-1	1	1	1	-1	0
wykonawstwa	carry	0	1	1	0	0	1	1	0	0
opłatą	levy	1	0	1	1	1	0	1	0	1
7,2	pledge	1	1	1	1	1	1	1	0	1
traktuje	be	0	1	0	0	0	0	1	0	1
7,5	be	0	1	0	0	0	0	1	0	1
7,6	tackle	0	1	-1	0	0	0	1	0	1
szeregowych	sell	0	0	0	0	1	1	1	0	1
wspieramy	support	1	1	1	1	0	1	1	1	1
pojmowania	understand	1	1	1	1	1	1	1	0	1
naświetlenie	highlight	1	1	1	1	0	1	1	0	1
details	detail	0	0	0	1	0	0	1	0	0
pojmowanie	understand	1	1	1	1	1	1	1	0	1
niezainteresowanego	date	0	0	1	0	1	0	1	0	1
Holender	be	0	1	0	0	0	0	1	0	1
powrócić	return	0	0	0	0	0	1	1	0	0
łupkowy	represent	0	1	0	1	0	1	1	0	0
uwarunkowań	ground	0	0	1	1	1	1	1	0	1
dopuścili	have	1	1	1	0	0	1	1	0	1
Michaela	be	0	1	0	0	0	0	1	0	1
wychodzili	take	1	1	1	0	1	1	1	0	1
finansowaniem	finance	1	1	1	1	1	1	1	0	1
szanujmy	respect	1	1	1	1	0	1	1	1	1
ciężarowych	truck	0	0	0	0	1	0	1	0	0
wiodącego	lead	0	1	1	1	1	0	1	0	1
znajdzie	be	0	1	0	0	0	0	1	0	1
rozproszenia	force	0	0	0	-1	0	1	0	-1	0
bezczynności	do	1	1	1	0	0	1	1	0	1
rozproszenie	disperse	0	0	-1	-1	0	1	1	-1	0
konsultowano	consult	1	1	1	1	1	1	1	1	1
postępowały	have	1	1	1	0	0	1	1	0	1
przyzwoite	work	1	1	1	1	0	1	1	0	1
konsultowane	consult	1	1	1	1	1	1	1	1	1
konsultowana	consult	1	1	1	1	1	1	1	1	1
opracowywaniu	develop	0	1	0	1	0	0	1	0	0
abonament	bill	0	0	1	1	1	1	1	0	1
liczniejszych	number	0	0	0	1	0	0	1	0	0
przedsięwzięte	take	1	1	1	0	1	1	1	0	1
podaną	give	0	1	1	0	0	0	1	0	1
konsultowany	consult	1	1	1	1	1	1	1	1	1
tzn.	be	0	1	0	0	0	0	1	0	1
przedsięwzięto	be	0	1	0	0	0	0	1	0	1
opracowywania	develop	0	1	0	1	0	0	1	0	0
powrócił	return	0	0	0	0	0	1	1	0	0
odrzucenia	reject	0	0	-1	-1	0	1	1	0	0
opracowywanie	develop	0	1	0	1	0	0	1	0	0
Deauville	deal	0	0	0	0	0	0	0	0	0
upośledzeniem	impair	0	-1	0	-1	0	1	-1	0	0
podzieli	share	1	1	1	0	1	1	1	0	1
sfera	be	0	1	0	0	0	0	1	0	1
krótkofalowymi	aim	0	0	0	1	1	0	1	0	1
postrzegaliśmy	look	0	1	1	0	0	0	1	0	1
podziela	share	1	1	1	0	1	1	1	0	1
tną	be	0	1	0	0	0	0	1	0	1
sfery	intend	0	0	0	1	0	1	1	0	1
zarabiały	earn	1	1	1	0	1	1	1	0	1
pułapów	cap	0	0	1	0	1	0	1	0	1
wydadzą	spend	0	1	0	0	0	0	1	0	0
odejść	move	0	0	0	1	0	1	1	0	0
sformułowali	be	0	1	0	0	0	0	1	0	1
oceńmy	evaluate	0	0	1	0	0	1	1	0	0
popierałem	support	1	1	1	1	0	1	1	1	1
łączyć	combine	1	1	1	1	1	1	1	0	1
kursowego	rate	0	1	0	1	0	0	1	0	0
szczerej	position	0	0	0	1	0	1	1	0	0
stosunkiem	pay	0	0	-1	0	0	-1	1	0	-1
przeradza	be	0	1	0	0	0	0	1	0	1
nawiązywano	be	0	1	0	0	0	0	1	0	1
wypłynęło	sort	0	0	0	1	0	1	1	0	0
spocznie	be	0	1	0	0	0	0	1	0	1
komplementarność	be	0	1	0	0	0	0	1	0	1
wypłynęła	have	1	1	1	0	0	1	1	0	1
nawiązywane	be	0	1	0	0	0	0	1	0	1
zapisanej	be	0	1	0	0	0	0	1	0	1
zreformowanego	incorporate	0	0	1	1	0	1	1	0	1
górach	be	0	1	0	0	0	0	1	0	1
powołałem	have	1	1	1	0	0	1	1	0	1
kierując	base	0	1	1	1	1	1	1	0	1
wypłynęły	be	0	1	0	0	0	0	1	0	1
Zachodowi	be	0	1	0	0	0	0	1	0	1
utrzymają	maintain	1	0	1	1	0	1	1	0	1
zmienionej	revise	1	1	1	1	1	1	1	0	1
postulowana	ask	0	0	0	0	1	1	1	0	0
konkursach	do	1	1	1	0	0	1	1	0	1
uprawiamy	grow	1	1	1	1	1	1	1	0	1
całkowicie	complete	1	1	1	1	1	1	1	0	1
postulowane	advocate	1	1	1	1	1	1	1	0	1
okupacyjnego	occupy	0	0	0	0	1	1	1	0	1
zaniedbuje	neglect	1	-1	-1	-1	-1	1	0	-1	-1
praktykują	be	0	1	0	0	0	0	1	0	1
obowiązywałaby	be	0	1	0	0	0	0	1	0	1
dostarczającego	provide	1	1	1	1	1	1	1	0	1
wyraziliście	express	-1	0	0	0	1	0	1	0	0
destrukcji	destroy	0	-1	-1	-1	0	1	0	-1	0
machnąć	dismiss	0	0	-1	-1	0	0	1	-1	0
podzielających	share	1	1	1	0	1	1	1	0	1
przyjazdem	travel	1	1	1	0	1	0	1	0	1
słoń	like	1	1	1	1	0	1	1	1	1
dwukrotnego	halve	0	0	0	-1	1	1	1	0	0
sporządzi	draw	0	0	1	1	1	1	0	0	0
zorganizowanych	package	0	0	0	1	1	0	1	0	1
usprawni	improve	1	1	1	1	0	1	1	0	1
sporządza	produce	1	1	1	1	0	1	1	0	1
zaginięć	follow	0	0	1	1	1	1	1	0	1
wyzysku	exploit	0	-1	-1	-1	0	1	1	-1	0
uzupełnień	supplement	1	1	1	1	1	1	1	0	1
krytykowało	have	1	1	1	0	0	1	1	0	1
reprezentowaniu	represent	0	1	0	1	0	1	1	0	0
przystępują	be	0	1	0	0	0	0	1	0	1
ratyfikowaliśmy	ratify	1	1	1	1	1	1	1	0	1
niejasnych	obscure	0	0	0	1	0	1	1	0	0
reprezentowanie	represent	0	1	0	1	0	1	1	0	0
reprezentowania	represent	0	1	0	1	0	1	1	0	0
planujących	plan	1	1	1	1	1	1	1	0	1
opublikowana	publish	1	1	1	1	1	1	1	0	1
zmotywowana	motivate	1	1	0	1	1	1	1	1	0
szarą	be	0	1	0	0	0	0	1	0	1
opisywana	describe	0	0	0	1	0	0	1	0	1
opisywane	describe	0	0	0	1	0	0	1	0	1
nutę	note	0	0	0	0	0	0	1	0	0
marginesu	leave	0	0	0	0	0	0	1	-1	0
wstrzymałem	abstain	0	0	-1	0	0	0	1	0	1
opisywano	describe	0	0	0	1	0	0	1	0	1
podwyższonego	venture	0	0	1	0	1	1	1	0	1
zapewniałby	provide	1	1	1	1	1	1	1	0	1
feminizacja	enhance	1	1	1	1	0	1	1	0	1
opisywany	describe	0	0	0	1	0	0	1	0	1
nutą	be	0	1	0	0	0	0	1	0	1
wywołałaby	have	1	1	1	0	0	1	1	0	1
zatrudniają	employ	1	1	1	1	1	1	1	0	1
przedłużania	prolong	0	1	0	-1	0	1	1	0	0
bezpłatnie	free	1	1	1	1	1	1	1	1	1
zapowiedzi	make	0	0	0	1	0	0	1	0	0
przedłużanie	extend	0	1	1	1	1	1	1	0	1
strukturom	structure	1	1	0	1	1	1	1	0	0
wtrącania	meddle	0	-1	1	0	0	1	1	0	1
przesunąć	move	0	0	0	1	0	1	1	0	0
darmowych	free	1	1	1	1	1	1	1	1	1
wysiedlonych	displace	0	0	0	-1	0	1	0	-1	0
wtrącanie	meddle	0	-1	1	0	0	1	1	0	1
zdewastowane	devastate	1	-1	0	-1	0	1	-1	-1	0
ciągnionych	tow	0	0	1	1	1	1	0	-1	1
położymy	put	1	1	1	0	1	1	1	0	1
wydawnicza	publish	1	1	1	1	1	1	1	0	1
nadzorowani	supervise	1	1	1	1	1	1	1	0	1
wymusiłoby	force	0	0	0	-1	0	1	0	-1	0
poprosili	ask	0	0	0	0	1	1	1	0	0
nadzorowana	supervise	1	1	1	1	1	1	1	0	1
popełnienia	commit	-1	-1	0	0	-1	0	1	0	-1
nadzorowane	supervise	1	1	1	1	1	1	1	0	1
